"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,07.11.2025 (8:30 - 14:00),,,Поточний прийом:,,10.11.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
39,4099,Не зайшов,,,39,,4120,Обіцяв бути,---,18.11.2025
40,4120,Не зайшов,,,40,,4132,Обіцяв бути,---,19.11.2025
41,4130,Відклав візит,,,41,,4134,Обіцяв бути,---,19.11.2025
42,4132,Не зайшов,,,42,,4135,Відклав візит,08.12.2025,19.11.2025
43,4134,Не зайшов,,,43,,4136,Обіцяв бути,---,19.11.2025
44,4135,Не зайшов,,,44,,4137,Обіцяв бути,---,19.11.2025
45,4136,Не зайшов,,,45,,4142,Обіцяв бути,---,20.11.2025
46,4137,Не зайшов,,,46,,4144,Обіцяв бути,---,20.11.2025
47,4142,Не зайшов,,,47,,4146,Обіцяв бути,---,20.11.2025
48,4144,Не зайшов,,,48,,4161,Обіцяв бути,---,21.11.2025
49,4146,Не зайшов,,,49,,4162,Відклав візит,10.12.2025,21.11.2025
50,4162,Не зайшов,,,50,,4170,Обіцяв бути,---,21.11.2025
51,4170,Не зайшов,,,51,,4177,Обіцяв бути,---,24.11.2025
52,4177,Не зайшов,,,52,,4183,Обіцяв бути,---,24.11.2025
53,4183,Не зайшов,,,53,,4193,Обіцяв бути,---,24.11.2025
54,4193,Не зайшов,,,54,,4194,Обіцяв бути,---,25.11.2025
55,4194,Не зайшов,,,55,,4197,Обіцяв бути,---,25.11.2025
56,4197,Не зайшов,,,56,,4206,Обіцяв бути,---,25.11.2025
57,4206,Не зайшов,,,57,,4211,Обіцяв бути,---,25.11.2025
58,4211,Не зайшов,,,58,,4223,Обіцяв бути,---,26.11.2025
59,4223,Не зайшов,,,59,,4228,Обіцяв бути,---,26.11.2025
60,4228,Не зайшов,,,60,,4233,Обіцяв бути,---,27.11.2025
61,4233,Не зайшов,,,61,,4234,Обіцяв бути,---,27.11.2025
62,4234,Не зайшов,,,62,,4238,Обіцяв бути,---,27.11.2025
63,4238,Не зайшов,,,63,,4239,Обіцяв бути,---,27.11.2025
64,4239,Не зайшов,,,64,,4240,Обіцяв бути,---,27.11.2025
65,4240,Не зайшов,,,65,,4241,Обіцяв бути,---,27.11.2025
66,4241,Не зайшов,,,66,,4244,Відклав візит,08.12.2025,27.11.2025
67,4262,Не зайшов,,,67,,4262,Обіцяв бути,---,28.11.2025
68,4263,Не зайшов,,,68,,4263,Обіцяв бути,---,28.11.2025
69,4269,Не зайшов,,,69,,4269,Обіцяв бути,---,01.12.2025
70,4270,Не зайшов,,,70,,4270,Обіцяв бути,---,01.12.2025
71,4277,Не зайшов,,,71,,4277,Обіцяв бути,---,01.12.2025
72,4286,Не зайшов,,,72,,4286,Обіцяв бути,---,02.12.2025
73,4287,Не зайшов,,,73,,4287,Обіцяв бути,---,02.12.2025
74,4294,Не зайшов,,,74,,4294,Обіцяв бути,---,02.12.2025
75,4295,Не зайшов,,,75,,4295,Обіцяв бути,---,02.12.2025
76,4319,Не зайшов,,,76,,4309,Обіцяв бути,---,03.12.2025
77,4333,Не зайшов,,,77,,4319,Обіцяв бути,---,03.12.2025
78,4338,Не зайшов,,,78,,4333,Обіцяв бути,---,04.12.2025
79,4339,Не зайшов,,,79,,4338,Обіцяв бути,---,05.12.2025
80,4363,Не зайшов,,,80,,4339,Обіцяв бути,---,05.12.2025
81,4371,Не зайшов,,,81,,4363,Обіцяв бути,---,08.12.2025
82,4373,Не зайшов,,,82,,4371,Обіцяв бути,---,08.12.2025
83,4390,Не зайшов,,,83,,4373,Обіцяв бути,---,08.12.2025
84,4396,Не зайшов,,,84,,4390,Обіцяв бути,---,09.12.2025
85,4406,Не зайшов,,,85,,4396,Обіцяв бути,---,10.12.2025
86,4407,Не зайшов,,,86,,4406,Обіцяв бути,---,10.12.2025
87,4415,Не зайшов,,,87,,4407,Обіцяв бути,---,10.12.2025
88,4421,Не зайшов,,,88,,4408,Відклав візит,22.12.2025,10.12.2025
89,4427,Не зайшов,,,89,,4415,Відклав візит,19.01.2026,11.12.2025
90,4432,Відклав візит,,,90,,4421,Обіцяв бути,---,11.12.2025
91,4444,Не зайшов,,,91,,4427,Обіцяв бути,---,11.12.2025
92,4459,Не зайшов,,,92,,4440,Обіцяв бути,---,12.12.2025
93,4470,Не зайшов,,,93,,4444,Обіцяв бути,---,12.12.2025
94,4486,Не зайшов,,,94,,4457,Обіцяв бути,---,15.12.2025
95,4517,Не зайшов,,,95,,4459,Обіцяв бути,---,15.12.2025
96,4552,Відклав візит,,,96,,4470,Обіцяв бути,---,16.12.2025
97,4554,Не зайшов,,,97,,4473,Обіцяв бути,---,16.12.2025
98,4560,Не зайшов,,,98,,4486,Обіцяв бути,---,17.12.2025
99,4566,Не зайшов,,,99,,4517,Обіцяв бути,---,18.12.2025
100,4572,Не зайшов,,,100,,4541,Обіцяв бути,---,22.12.2025
101,4573,Не зайшов,,,101,,4552,Обіцяв бути,---,22.12.2025
102,4575,Не зайшов,,,102,,4554,Обіцяв бути,---,23.12.2025
103,4577,Не зайшов,,,103,,4560,Обіцяв бути,---,23.12.2025
104,4580,Не зайшов,,,104,,4566,Обіцяв бути,---,23.12.2025
105,4585,Відклав візит,,,105,,4571,Обіцяв бути,---,23.12.2025
106,4586,Не зайшов,,,106,,4572,Обіцяв бути,---,24.12.2025
107,4598,Не зайшов,,,107,,4573,Обіцяв бути,---,24.12.2025
108,4605,Не зайшов,,,108,,4575,Обіцяв бути,---,24.12.2025
109,4606,Не зайшов,,,109,,4577,Обіцяв бути,---,24.12.2025
110,4609,Відклав візит,,,110,,4580,Обіцяв бути,---,24.12.2025
111,4613,Не зайшов,,,111,,4584,Обіцяв бути,---,24.12.2025
112,4623,Не зайшов,,,112,,4586,Обіцяв бути,---,24.12.2025
113,4636,Відклав візит,,,113,,4598,Обіцяв бути,---,25.12.2025
114,,,,,114,,4605,Обіцяв бути,---,25.12.2025
115,,,,,115,,4606,Обіцяв бути,---,25.12.2025
116,,,,,116,,4613,Обіцяв бути,---,26.12.2025
117,,,,,117,,4623,Обіцяв бути,---,26.12.2025
118,,,,,118,,4674,Обіцяв бути,---,31.12.2025
119,,,,,119,,4698,Відклав візит,14.01.2026,02.01.2026
120,,,,,120
121,,,,,121
122,,,,,122
123,,,,,123
124,,,,,124
125,,,,,125
126,,,,,126
127,,,,,127
128,,,,,128
129,,,,,129
130,,,,,130
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
