"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,18.09.2025 (10:00 - 14:00),,,NEXT DAY:,,19.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2808,Зайшов,,,1,Остання спроба,2863,Обіцяв бути,---,,#N/A
2,3192,Зайшов,Остання спроба,,2,Остання спроба,3205,Обіцяв бути,---,,#N/A
3,3198,Зайшов,Остання спроба,,3,Остання спроба,3210,Обіцяв бути,---,,#N/A
4,3203,Зайшов,,,4,Остання спроба,3216,Обіцяв бути,---,,#N/A
5,3205,Не з'явився,п.8,,5,Остання спроба,3217,Обіцяв бути,---,,5
6,3207,Зайшов,,,6,Остання спроба,3224,Обіцяв бути,---,,#N/A
7,3210,Не з'явився,п.8,,7,Остання спроба,3225,Обіцяв бути,---,,6
8,3212,Зайшов,,,8,Остання спроба,3227,Обіцяв бути,---,,#N/A
9,3213,Зайшов,,,9,Остання спроба,3233,Обіцяв бути,---,,#N/A
10,3214,Зайшов,,,10,Остання спроба,3235,Обіцяв бути,---,,#N/A
11,3216,Не з'явився,п.8,,11,Остання спроба,3236,Обіцяв бути,---,,7
12,3217,Не з'явився,п.8,,12,Остання спроба,3238,Обіцяв бути,---,,8
13,3224,Не з'явився,п.8,,13,Остання спроба,3243,Обіцяв бути,---,,9
14,3225,Не з'явився,п.8,,14,Остання спроба,3245,Обіцяв бути,---,,10
15,3227,Не з'явився,п.8,,15,Остання спроба,3249,Обіцяв бути,---,,11
16,3233,Не з'явився,п.8,,16,,3251,Обіцяв бути,---,,12
17,3235,Не з'явився,п.8,,17,Остання спроба,3253,Обіцяв бути,---,,13
18,3236,Не з'явився,п.8,,18,,3255,Обіцяв бути,---,,14
19,3238,Не з'явився,п.8,,19,,3256,Обіцяв бути,---,,15
20,3242,Зайшов,,,20,,3259,Обіцяв бути,---,,#N/A
21,3243,Не з'явився,п.8,,21,,3260,Обіцяв бути,---,,16
22,3244,Не з'явився,п.8,,22,,3261,Обіцяв бути,---,,#N/A
23,3245,Не з'явився,п.8,,23,,3262,Обіцяв бути,---,,17
24,3249,Не з'явився,п.8,,24,,3263,Обіцяв бути,---,,18
25,3253,Не з'явився,п.8,,25,,3266,Обіцяв бути,---,,20
26,3254,Зайшов,,,26,,3267,Обіцяв бути,---,,#N/A
27,3255,Не зайшов,,,27,,3271,Обіцяв бути,---,,21
28,3256,Не зайшов,,,28,,3272,Обіцяв бути,---,,22
29,3259,Не зайшов,,,29,,3273,Обіцяв бути,---,,23
30,3260,Не зайшов,,,30,,3274,Обіцяв бути,---,,24
31,3261,Не зайшов,,,31,,3275,Обіцяв бути,---,,25
32,3262,Не зайшов,,,32,,3279,Обіцяв бути,---,,26
33,3263,Не зайшов,,,33,,3280,Обіцяв бути,---,,27
34,3266,Не зайшов,,,34,,3287,Обіцяв бути,---,,28
