"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,27.10.2025 (13:00 - 15:30),,,Поточний прийом:,,28.10.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3548,Зайшов,,,1,,3237,Обіцяв бути,---,,Відсутній,п.8,3691
2,3592,Зайшов,,,2,,3563,Обіцяв бути,---,,Відсутній,Остання спроба,3714
3,3654,Зайшов,Остання спроба,,3,,3639,Обіцяв бути,---,,Відсутній,,3715
4,3691,Не з'явився,п.8,,4,,3663,Обіцяв бути,---,,Відсутній,Остання спроба,3716
5,3694,Зайшов,Остання спроба,,5,,3667,Обіцяв бути,---,,Відсутній,Остання спроба,3719
6,3709,Не з'явився,В кінець черги,,6,,3690,Обіцяв бути,---,,Відсутній,Остання спроба,3727
7,3710,Зайшов,,,7,Остання спроба,3691,Обіцяв бути,---,,Попередній 4,Остання спроба,3744
8,3711,Не з'явився,В кінець черги,,8,,3700,Обіцяв бути,---,,Відсутній,,3762
9,3712,Зайшов,Остання спроба,,9,Остання спроба,3714,Обіцяв бути,---,,Попередній 10,,3763
10,3714,Не зайшов,Остання спроба,,10,,3715,Обіцяв бути,---,,Попередній 11,,3765
11,3715,Не зайшов,,,11,Остання спроба,3716,Обіцяв бути,---,,Попередній 12,,3769
12,3716,Не зайшов,Остання спроба,,12,Остання спроба,3719,Обіцяв бути,---,,Попередній 13,,3772
13,3719,Не зайшов,Остання спроба,,13,Остання спроба,3727,Обіцяв бути,---,,Попередній 14,,3776
14,3727,Не зайшов,Остання спроба,,14,,3737,Обіцяв бути,---,,Відсутній,,3791
15,3744,Не зайшов,Остання спроба,,15,Остання спроба,3744,Обіцяв бути,---,,Попередній 15,,3792
16,3754,Відклав візит,,,16,,3762,Обіцяв бути,---,,Попередній 17,,3794
17,3762,Не зайшов,,,17,,3763,Обіцяв бути,---,,Попередній 18,,3795
18,3763,Не зайшов,,,18,,3765,Обіцяв бути,---,,Попередній 19,,3813
19,3765,Не зайшов,,,19,,3769,Обіцяв бути,---,,Попередній 20,,3819
20,3769,Не зайшов,,,20,,3772,Обіцяв бути,---,,Попередній 22,,3820
21,3770,Скасував,,,21,,3776,Обіцяв бути,---,,Попередній 23,,3823
22,3772,Не зайшов,,,22,,3791,Обіцяв бути,---,,Попередній 26,,3834
23,3776,Не зайшов,,,23,,3792,Обіцяв бути,---,,Попередній 27,,3840
24,3777,Відклав візит,,,24,,3794,Обіцяв бути,---,,Попередній 28,,3843
25,3785,Відклав візит,,,25,,3795,Обіцяв бути,---,,Попередній 29,,3849
26,3791,Не зайшов,,,26,,3813,Обіцяв бути,---,,Попередній 31,,3851
27,3792,Не зайшов,,,27,,3819,Обіцяв бути,---,,Попередній 32,,3856
28,3794,Не зайшов,,,28,,3820,Обіцяв бути,---,,Попередній 33,,3857
29,3795,Не зайшов,,,29,,3823,Обіцяв бути,---,,Попередній 34,,3858
30,3810,Відклав візит,,,30,,3834,Обіцяв бути,---,,Попередній 35,,3859
31,3813,Не зайшов,,,31,,3835,Обіцяв бути,---,,Відсутній,,3868
32,3819,Не зайшов,,,32,,3840,Обіцяв бути,---,,Попередній 37,,3871
33,3820,Не зайшов,,,33,,3843,Обіцяв бути,---,,Попередній 39,,3873
34,3823,Не зайшов,,,34,,3849,Обіцяв бути,---,,Попередній 40,,3879
35,3834,Не зайшов,,,35,,3850,Обіцяв бути,---,,Попередній 41,,3898
36,3838,Скасував,,,36,,3851,Обіцяв бути,---,,Попередній 42,,3908
