"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,03.09.2025 (15:00 - 17:30),,,NEXT DAY:,,04.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2532,Не з'явився,в кінець черги,,1,,1687,Обіцяв бути,---
2,2593,Зайшов,,,2,Остання спроба,2463,Обіцяв бути,---
3,2642,Не зайшов,,,3,,2642,Обіцяв бути,---,,6
4,2797,Не зайшов,,,4,,2779,Обіцяв бути,---,,9
5,2920,Не зайшов,,,5,,2789,Обіцяв бути,---,,12
6,2925,Не зайшов,,,6,,2797,Обіцяв бути,---,,13
7,2933,Не зайшов,,,7,,2798,Обіцяв бути,---,,14
8,2958,Не зайшов,Остання спроба,,8,,2864,Обіцяв бути,---,,16
9,2963,Не зайшов,,,9,,2920,Обіцяв бути,---,,18
10,2965,Не зайшов,,,10,,2925,Обіцяв бути,---,,19
11,2970,Не зайшов,,,11,,2933,Обіцяв бути,---,,20
12,3013,Не зайшов,,,12,,2946,Обіцяв бути,---,,23
13,3022,Не зайшов,,,13,Остання спроба,2958,Обіцяв бути,---,,24
14,3064,Не зайшов,,,14,,2960,Обіцяв бути,---,,28
15,3073,Не зайшов,,,15,,2963,Обіцяв бути,---,,29
16,3083,Не зайшов,,,16,,2965,Обіцяв бути,---,,31
17,3095,Не зайшов,,,17,,2970,Обіцяв бути,---,,32
18,3100,Не зайшов,Остання спроба,,18,Остання спроба,2973,Обіцяв бути,---,,33
19,3106,Не зайшов,Остання спроба,,19,Остання спроба,2991,Обіцяв бути,---,,34
20,3120,Відклав візит,,,20,,3013,Обіцяв бути,---,,37
21,3125,Не зайшов,,,21,,3022,Обіцяв бути,---,,38
22,3155,Не зайшов,,,22,,3028,Обіцяв бути,---,,39
23,3156,Не зайшов,Остання спроба,,23,Остання спроба,3049,Обіцяв бути,---,,40
24,3169,Не зайшов,,,24,,3057,Обіцяв бути,---,,42
25,3173,Не зайшов,,,25,,3064,Обіцяв бути,---,,43
26,3192,Не зайшов,Остання спроба,,26,,3073,Обіцяв бути,---,,44
27,3198,Не зайшов,Остання спроба,,27,,3076,Обіцяв бути,---,,45
28,3210,Не зайшов,,,28,,3083,Обіцяв бути,---,,47
29,3217,Не зайшов,,,29,,3095,Обіцяв бути,---,,49
30,3220,Не зайшов,,,30,Остання спроба,3100,Обіцяв бути,---,,50
31,3225,Не зайшов,,,31,Остання спроба,3106,Обіцяв бути,---,,52
32,3227,Не зайшов,,,32,,3109,Обіцяв бути,---,,53
33,3233,Не зайшов,,,33,,3118,Обіцяв бути,---,,55
34,3236,Не зайшов,,,34,,3120,Обіцяв бути,---,,56
35,3238,Не зайшов,,,35,,3125,Обіцяв бути,---,,57
36,3243,Не зайшов,,,36,,3155,Обіцяв бути,---,,58
37,3244,Не зайшов,,,37,Остання спроба,3156,Обіцяв бути,---,,59
38,3245,Не зайшов,,,38,Остання спроба,3162,Обіцяв бути,---,,60
39,3249,Не зайшов,,,39,,3169,Обіцяв бути,---,,61
40,3253,Не зайшов,,,40,,3173,Обіцяв бути,---,,62
41,3254,Не зайшов,,,41,Остання спроба,3192,Обіцяв бути,---,,63
42,3255,Не зайшов,,,42,Остання спроба,3198,Обіцяв бути,---,,64
43,3256,Не зайшов,,,43,,3205,Обіцяв бути,---,,65
44,3260,Не зайшов,,,44,,3210,Обіцяв бути,---,,66
45,3261,Не зайшов,,,45,,3216,Обіцяв бути,---,,67
46,3266,Не зайшов,,,46,,3217,Обіцяв бути,---,,68
47,3267,Не зайшов,,,47,,3220,Обіцяв бути,---,,69
48,3270,Не зайшов,,,48,,3223,Обіцяв бути,---,,70
49,3272,Не зайшов,,,49,,3225,Обіцяв бути,---,,71
50,3273,Не зайшов,,,50,,3227,Обіцяв бути,---,,72
51,3274,Не зайшов,,,51,,3230,Обіцяв бути,---,,73
52,3275,Не зайшов,,,52,,3233,Обіцяв бути,---,,74
53,3279,Не зайшов,,,53,,3236,Обіцяв бути,---,,75
54,3284,Не зайшов,,,54,,3238,Обіцяв бути,---,,76
55,3287,Не зайшов,,,55,,3243,Обіцяв бути,---,,77
56,3288,Не зайшов,,,56,,3244,Обіцяв бути,---,,78
57,3296,Не зайшов,,,57,,3245,Обіцяв бути,---,,80
58,3298,Не зайшов,,,58,,3249,Обіцяв бути,---,,81
59,3303,Не зайшов,,,59,,3253,Обіцяв бути,---,,82
60,3307,Не зайшов,,,60,,3254,Обіцяв бути,---,,83
61,3310,Не зайшов,,,61,,3255,Обіцяв бути,---,,84
62,3319,Не зайшов,Списки,,62,,3256,Обіцяв бути,---,,85
63,3326,Не зайшов,,,63,,3260,Обіцяв бути,---,,86
64,3328,Не зайшов,,,64,,3261,Обіцяв бути,---,,87
65,3329,Не зайшов,,,65,,3266,Обіцяв бути,---,,88
66,3341,Не зайшов,,,66,,3267,Обіцяв бути,---,,89
67,3345,Не зайшов,,,67,,3270,Обіцяв бути,---,,90
68,3357,Не зайшов,,,68,,3272,Обіцяв бути,---,,92
69,3383,Не зайшов,,,69,,3273,Обіцяв бути,---,,93
70,3384,Не зайшов,,,70,,3274,Обіцяв бути,---,,94
71,3395,Не зайшов,,,71,,3275,Обіцяв бути,---,,95
72,3402,Не зайшов,,,72,,3279,Обіцяв бути,---,,96
73,3421,Не зайшов,,,73,,3284,Обіцяв бути,---,,97
74,,,,,74,,3287,Обіцяв бути,---
75,,,,,75,,3288,Обіцяв бути,---
76,,,,,76,,3293/1,Обіцяв бути,---
77,,,,,77,,3296,Обіцяв бути,---
78,,,,,78,,3298,Обіцяв бути,---
79,,,,,79,,3303,Обіцяв бути,---
80,,,,,80,,3307,Обіцяв бути,---
81,,,,,81,,3310,Обіцяв бути,---
82,,,,,82,Списки,3319,Обіцяв бути,---
83,,,,,83,,3326,Обіцяв бути,---
84,,,,,84,,3328,Обіцяв бути,---
85,,,,,85,,3329,Обіцяв бути,---
86,,,,,86,,3341,Обіцяв бути,---
87,,,,,87,,3345,Обіцяв бути,---
