"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,29.09.2025 (15:00 - 17:30),,,Поточний прийом:,,30.09.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2795,Зайшов,,,1,,2983,Обіцяв бути,---,,#N/A
2,2894,Зайшов,,,2,,2988,Обіцяв бути,---,,#N/A
3,2983,Не зайшов,,,3,,2998,Обіцяв бути,---,,4
4,2988,Не зайшов,,,4,,3009,Обіцяв бути,---,,5
5,3183,Не зайшов,остання спроба,,5,,3051,Обіцяв бути,---,,9
6,3240,Не зайшов,,,6,остання спроба,3183,Обіцяв бути,---,,10
7,3294,Не зайшов,,,7,,3240,Обіцяв бути,---,,11
8,3358,Не зайшов,,,8,,3294,Обіцяв бути,---,,#N/A
9,3359,Не зайшов,,,9,,3296,Обіцяв бути,---,,#N/A
10,3376,Не зайшов,,,10,,3364,Обіцяв бути,---,,14
11,3416,Не зайшов,,,11,,3376,Обіцяв бути,---,,16
12,3447,Не зайшов,остання спроба,,12,,3404,Обіцяв бути,---,,19
13,3452,Не зайшов,,,13,,3416,Обіцяв бути,---,,20
14,3457,Не зайшов,остання спроба,,14,,3430,Обіцяв бути,---,,22
15,3461,Не зайшов,,,15,,3439,Обіцяв бути,---,,23
16,3467,Відклав візит,,,16,остання спроба,3447,Обіцяв бути,---,,#N/A
17,3468,Не зайшов,,,17,,3452,Обіцяв бути,---,,24
18,3470,Не зайшов,,,18,,3454,Обіцяв бути,---,,25
19,3471,Відклав візит,,,19,остання спроба,3457,Обіцяв бути,---,,#N/A
20,3483,Не зайшов,,,20,,3461,Обіцяв бути,---,,27
21,3495,Не зайшов,,,21,,3468,Обіцяв бути,---,,30
22,3498,Відклав візит,,,22,,3470,Обіцяв бути,---,,#N/A
23,3499,Не зайшов,,,23,,3474,Обіцяв бути,---,,31
24,3500,Не зайшов,,,24,,3483,Обіцяв бути,---,,32
25,3501,Не зайшов,,,25,,3492,Обіцяв бути,---,,33
26,3503,Не зайшов,,,26,,3494,Обіцяв бути,---,,34
27,3504,Не зайшов,,,27,,3495,Обіцяв бути,---,,35
28,3506,Не зайшов,,,28,,3499,Обіцяв бути,---,,36
29,3509,Не зайшов,,,29,,3500,Обіцяв бути,---,,37
30,3515,Не зайшов,,,30,,3501,Обіцяв бути,---,,38
31,3522,Не зайшов,,,31,,3503,Обіцяв бути,---,,39
32,3528,Не зайшов,,,32,,3504,Обіцяв бути,---,,40
33,3533,Не зайшов,,,33,,3506,Обіцяв бути,---,,41
34,3537,Не зайшов,,,34,,3509,Обіцяв бути,---,,42
35,3542,Не зайшов,,,35,,3515,Обіцяв бути,---,,43
36,3545,Відклав візит,,,36,,3522,Обіцяв бути,---,,#N/A
37,3561,Не зайшов,,,37,,3528,Обіцяв бути,---,,45
38,3581,Не зайшов,,,38,,3533,Обіцяв бути,---,,46
39,3588,Не зайшов,,,39,,3537,Обіцяв бути,---,,47
40,3604,Не зайшов,,,40,,3542,Обіцяв бути,---,,48
41,3608,Не зайшов,,,41,,3556,Обіцяв бути,---,,49
42,3654,Не зайшов,,,42,,3561,Обіцяв бути,---,,51
43,3656,Не зайшов,,,43,,3581,Обіцяв бути,---,,52
44,3659,Не зайшов,,,44,,3588,Обіцяв бути,---,,53
45,3660,Не зайшов,,,45,,3604,Обіцяв бути,---,,54
46,3672,Не зайшов,,,46,,3608,Обіцяв бути,---,,55
47,3696,Не зайшов,,,47,,3614,Обіцяв бути,---,,56
48,3704,Не зайшов,,,48,,3654,Обіцяв бути,---,,57,#N/A
