"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,28.10.2025 (10:00 - 14:00),,,Поточний прийом:,,29.10.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
66,4001,Не зайшов,,,66,,4074,Обіцяв бути,---,,Попередній 77,,4090
67,4003,Не зайшов,,,67,,4075,Обіцяв бути,---,,Попередній 78,,4092
68,4011,Не зайшов,,,68,,4077,Обіцяв бути,---,,Попередній 79,,4099
69,4014,Не зайшов,,,69,,4078,Обіцяв бути,---,,Попередній 80,,4120
70,4015,Не зайшов,,,70,,4086,Обіцяв бути,---,,Попередній 81,,4132
71,4019,Не зайшов,,,71,,4089,Обіцяв бути,---,,Попередній 82,,4135
72,4024,Не зайшов,,,72,,4090,Обіцяв бути,---,,Попередній 83,,4136
73,4027,Не зайшов,,,73,,4092,Обіцяв бути,---,,Попередній 84,,4137
74,4050,Не зайшов,,,74,,4099,Обіцяв бути,---,,Попередній 85,,4142
75,4064,Не зайшов,,,75,,4120,Обіцяв бути,---,,Попередній 87,,4144
76,4073,Не зайшов,,,76,,4132,Обіцяв бути,---,,Попередній 88,,4177
77,4074,Не зайшов,,,77,,4134,Обіцяв бути,---,,Відсутній,,4183
78,4075,Не зайшов,,,78,,4135,Відклав візит,08.12.2025,,Попередній 89,,4194
79,4077,Не зайшов,,,79,,4136,Обіцяв бути,---,,Попередній 90,,4211
80,4078,Не зайшов,,,80,,4137,Обіцяв бути,---,,Попередній 91,,4223
81,4086,Не зайшов,,,81,,4142,Обіцяв бути,---,,Попередній 92,,4233
82,4089,Не зайшов,,,82,,4144,Обіцяв бути,---,,Попередній 93,,4240
83,4090,Не зайшов,,,83,,4176,Відклав візит,10.12.2025,,Попередній 94,,4241
84,4092,Не зайшов,,,84,,4177,Обіцяв бути,---,,Попередній 95,,4263
85,4099,Не зайшов,,,85,,4183,Обіцяв бути,---,,Попередній 96,,4269
86,4103,Відклав візит,,,86,,4194,Обіцяв бути,---,,Попередній 98,,4270
87,4120,Не зайшов,,,87,,4211,Обіцяв бути,---,,Попередній 99,,4286
88,4132,Не зайшов,,,88,,4223,Обіцяв бути,---,,Попередній 100,,4287
89,4135,Не зайшов,,,89,,4233,Обіцяв бути,---,,Попередній 101,,4294
90,4136,Не зайшов,,,90,,4240,Обіцяв бути,---,,Попередній 102,,4295
91,4137,Не зайшов,,,91,,4241,Обіцяв бути,---,,Попередній 103,,4319
92,4142,Не зайшов,,,92,,4263,Обіцяв бути,---,,Попередній 104,,4338
93,4144,Не зайшов,,,93,,4269,Обіцяв бути,---,,Попередній 105,,4339
94,4176,Відклав візит,,,94,,4270,Обіцяв бути,---,,Попередній 106,,4371
