"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,21.07.2025 (14:00 - 16:30),,,NEXT DAY:,,22.07.2025 (10:00 - 15:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1806,Зайшов,,,1,,1669,Обіцяв бути,---
2,1829,Зайшов,остання спроба,,2,,1844,Обіцяв бути,---
3,1845,Зайшов,,,3,остання спроба,1851,Обіцяв бути,---
4,1851,Відклав візит,паспорт,,4,остання спроба,1888,Обіцяв бути,---
5,1864,Зайшов,,,5,остання спроба,1897,Обіцяв бути,---
6,1873,Зайшов,,,6,,1906,Обіцяв бути,---
7,1888,Не з'явився,,,7,,1940,Обіцяв бути,---
8,1898,Зайшов,,,8,,1945,Обіцяв бути,---
9,1912,Відклав візит,,,9,,1946,Обіцяв бути,---
10,1915,Зайшов,,,10,,1951,Обіцяв бути,---
11,1945,Відклав візит,,,11,остання спроба,1956,Обіцяв бути,---
12,1956,Відклав візит,,,12,,1959,Обіцяв бути,---
13,1969,Зайшов,список,,13,,1964,Обіцяв бути,---
14,1975,Не зайшов,,,14,,1975,Обіцяв бути,---
15,1988,Відклав візит,,,15,,1976,Обіцяв бути,---
16,1989,Не зайшов,,,16,,1981,Обіцяв бути,---
17,1991,Відклав візит,,,17,,1987,Обіцяв бути,---
18,1992,Не зайшов,,,18,,1988,Обіцяв бути,---
19,2001,Відклав візит,,,19,,1989,Обіцяв бути,---
20,2005,Не зайшов,,,20,,1991,Обіцяв бути,---
21,2010,Відклав візит,,,21,,1992,Обіцяв бути,---
22,2016,Не зайшов,,,22,,2001,Обіцяв бути,---
23,2017,Не зайшов,,,23,,2005,Обіцяв бути,---
24,2018,Відклав візит,,,24,,2008,Обіцяв бути,---
25,2019,Відклав візит,,,25,,2010,Обіцяв бути,---
26,2027,Не зайшов,,,26,,2013,Обіцяв бути,---
27,2032,Відклав візит,,,27,,2015,Обіцяв бути,---
28,2043,Не зайшов,,,28,,2016,Обіцяв бути,---
29,2045,Не зайшов,,,29,,2017,Обіцяв бути,---
30,2046,Не зайшов,,,30,,2020,Обіцяв бути,---
31,2049,Не зайшов,,,31,,2027,Обіцяв бути,---
32,2053,Не зайшов,,,32,,2043,Обіцяв бути,---
33,2055,Відклав візит,,,33,,2045,Обіцяв бути,---
