"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,03.11.2025 (8:30 - 14:00),,,Поточний прийом:,,04.11.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3485,Не з'явився,В кінець черги,,1,,3693,Обіцяв бути,---,,Відсутній,Остання спроба,3873
2,3566,Зайшов,,,2,,3773,Обіцяв бути,---,,Відсутній,Остання спроба,3879
3,3652,Зайшов,,,3,,3811,Обіцяв бути,---,,Відсутній,Остання спроба,3898
4,3787,Зайшов,,,4,,3819,Обіцяв бути,---,,Відсутній,Остання спроба,3910
5,3817,Зайшов,,,5,,3822,Обіцяв бути,---,,Відсутній,Остання спроба,3918
6,3846,Зайшов,,,6,,3825,Обіцяв бути,---,,Відсутній,Остання спроба,3924
7,3860,Зайшов,,,7,Остання спроба,3873,Обіцяв бути,---,,Попередній 8,Остання спроба,3926
8,3873,Не з'явився,п.8,,8,Остання спроба,3879,Обіцяв бути,---,,Попередній 9,Остання спроба,3930
9,3879,Не з'явився,п.8,,9,Остання спроба,3898,Обіцяв бути,---,,Попередній 11,Остання спроба,3935
10,3888,Зайшов,,,10,,3903,Обіцяв бути,---,,Відсутній,Остання спроба,3944
11,3898,Не з'явився,п.8,,11,,3906,Обіцяв бути,---,,Відсутній,Остання спроба,3945
12,3910,Не з'явився,п.8,,12,Остання спроба,3910,Обіцяв бути,---,,Попередній 12,Остання спроба,3948
13,3918,Не з'явився,п.8,,13,Остання спроба,3918,Обіцяв бути,---,,Попередній 13,Остання спроба,3964
14,3924,Не з'явився,п.8,,14,Остання спроба,3924,Обіцяв бути,---,,Попередній 14,Остання спроба,3967
15,3926,Не з'явився,п.8,,15,Остання спроба,3926,Обіцяв бути,---,,Попередній 15,Остання спроба,3971
16,3929,Зайшов,,,16,Остання спроба,3930,Обіцяв бути,---,,Попередній 17,,3980
17,3930,Не з'явився,п.8,,17,Остання спроба,3935,Обіцяв бути,---,,Попередній 19,,3990
18,3934,Скасував,п.8,,18,Остання спроба,3944,Обіцяв бути,---,,Попередній 20,,4000
19,3935,Не з'явився,п.8,,19,Остання спроба,3945,Обіцяв бути,---,,Попередній 21,,4001
20,3944,Не з'явився,п.8,,20,Остання спроба,3948,Обіцяв бути,---,,Попередній 22,,4003
21,3945,Не з'явився,п.8,,21,Остання спроба,3964,Обіцяв бути,---,,Попередній 23,,4011
22,3948,Не з'явився,п.8,,22,Остання спроба,3967,Обіцяв бути,---,,Попередній 24,,4014
23,3964,Не з'явився,п.8,,23,Остання спроба,3971,Обіцяв бути,---,,Попередній 25,,4015
24,3967,Не з'явився,п.8,,24,,3980,Обіцяв бути,---,,Попередній 28,,4019
25,3971,Не з'явився,п.8,,25,,3990,Обіцяв бути,---,,Попередній 30,,4022
26,3972,Відклав візит,,,26,,4000,Обіцяв бути,---,,Попередній 32,,4024
27,3974,Зайшов,,,27,,4001,Обіцяв бути,---,,Попередній 33,,4050
28,3980,Не зайшов,,,28,,4003,Обіцяв бути,---,,Попередній 34,,4064
29,3982,Відклав візит,,,29,,4011,Обіцяв бути,---,,Попередній 35,,4070
30,3990,Не зайшов,,,30,,4013,Обіцяв бути,---,,Відсутній,,4071
31,3992,Зайшов (за живою чергою),,,31,,4014,Обіцяв бути,---,,Попередній 36,,4073
32,4000,Не зайшов,,,32,,4015,Обіцяв бути,---,,Попередній 37,,4074
33,4001,Не зайшов,,,33,,4019,Обіцяв бути,---,,Попередній 38,,4075
34,4003,Не зайшов,,,34,,4022,Обіцяв бути,---,,Попередній 39,,4078
35,4011,Не зайшов,,,35,,4024,Обіцяв бути,---,,Попередній 40,,4086
36,4014,Не зайшов,,,36,,4043,Обіцяв бути,---,,Відсутній,,4089
37,4015,Не зайшов,,,37,,4050,Обіцяв бути,---,,Попередній 42,,4090
38,4019,Не зайшов,,,38,,4064,Обіцяв бути,---,,Попередній 43,,4092
39,4022,Не зайшов,,,39,,4070,Обіцяв бути,---,,Попередній 44,,4099
40,4024,Не зайшов,,,40,,4071,Обіцяв бути,---,,Попередній 45,,4120
41,4028,Зайшов (за живою чергою),,,41,,4073,Обіцяв бути,---,,Попередній 46,,4132
42,4050,Не зайшов,,,42,,4074,Обіцяв бути,---,,Попередній 47,,4134
43,4064,Не зайшов,,,43,,4075,Обіцяв бути,---,,Попередній 48,,4135
44,4070,Не зайшов,,,44,,4078,Обіцяв бути,---,,Попередній 50,,4136
45,4071,Не зайшов,,,45,,4085,Обіцяв бути,---,,Відсутній,,4137
46,4073,Не зайшов,,,46,,4086,Обіцяв бути,---,,Попередній 51,,4142
47,4074,Не зайшов,,,47,,4089,Обіцяв бути,---,,Попередній 52,,4144
48,4075,Не зайшов,,,48,,4090,Обіцяв бути,---,,Попередній 53,,4146
49,4077,Зайшов (за живою чергою),,,49,,4092,Обіцяв бути,---,,Попередній 54,,4162
50,4078,Не зайшов,,,50,,4099,Обіцяв бути,---,,Попередній 55,,4171
51,4086,Не зайшов,,,51,,4120,Обіцяв бути,---,,Попередній 56,,4177
52,4089,Не зайшов,,,52,,4132,Обіцяв бути,---,,Попередній 57,,4183
