"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,02.01.2026 (09:00 - 14:00),,,Поточний прийом:,,05.01.2026 (09:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту,Перевірка,Примітки,"ID
(номер первинної черги)",Альтернативний калькулятор дати
1,4509,Не з'явився,В кінець черги,,1,,3591,Обіцяв бути,---,,Записаний 17,,3591,06.01.2026
2,4654,Зайшов,,,2,,4377,Обіцяв бути,---,,Записаний 18,,4377,21.01.2026
3,4659,Зайшов,,,3,,4525,Обіцяв бути,---,,Записаний 19,,4525,23.01.2026
4,4669,Зайшов,,,4,,4537,Обіцяв бути,---,,Записаний 20,,4537,26.01.2026
5,4765,Не з'явився,п.8,,5,,4565,Обіцяв бути,---,,Записаний 21,,4565,26.01.2026
6,4897,Не з'явився,п.8,,6,,4665,Обіцяв бути,---,,Записаний 22,,4665,29.01.2026
7,4902,Не з'явився,п.8,,7,,4719,Обіцяв бути,---,,Записаний 23,,4719,02.02.2026
8,4904,Не з'явився,п.8,,8,,4746,Обіцяв бути,---,,Записаний 24,,4746,03.02.2026
9,4908,Не з'явився,п.8,,9,Остання спроба,4765,Обіцяв бути,---,,Попередній 5,Остання спроба,4765,04.02.2026
10,4915,Не з'явився,п.8,,10,,4785,Обіцяв бути,---,,Записаний 25,,4785,04.02.2026
11,4933,Не з'явився,п.8,,11,,4794,Обіцяв бути,---,,Записаний 26,,4794,05.02.2026
12,4935,Не з'явився,п.8,,12,,4864,Обіцяв бути,---,,Записаний 27,,4864,09.02.2026
13,4942,Не з'явився,п.8,,13,,4866,Обіцяв бути,---,,Записаний 28,,4866,10.02.2026
14,4950,Не з'явився,п.8,,14,Остання спроба,4897,Обіцяв бути,---,,Попередній 6,Остання спроба,4897,11.02.2026
15,4952,Зайшов,,,15,Остання спроба,4902,Обіцяв бути,---,,Попередній 7,Остання спроба,4902,11.02.2026
16,4953,Зайшов,,,16,Остання спроба,4904,Обіцяв бути,---,,Попередній 8,Остання спроба,4904,11.02.2026
