"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,22.07.2025 (10:00 - 15:00),,,NEXT DAY:,,23.07.2025 (14:00 - 16:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1669,Зайшов,,,1,,1893,Обіцяв бути,---
2,1844,Зайшов,,,2,,1900,Обіцяв бути,---
3,1851,Не з'явився,,,3,,1910,Обіцяв бути,---
4,1888,Не з'явився,,,4,остання спроба,1912,Обіцяв бути,---
5,1897,Зайшов,,,5,,1926,Обіцяв бути,---
6,1906,Зайшов,,,6,остання спроба,1946,Обіцяв бути,---
7,1940,Зайшов,,,7,,1966,Обіцяв бути,---
8,1945,Зайшов,,,8,,1988,Обіцяв бути,---
9,1946,Не з'явився,п.8,,9,,1991,Обіцяв бути,---
10,1951,Зайшов,,,10,,1992,Обіцяв бути,---
11,1956,Зайшов,,,11,,2001,Обіцяв бути,---
12,1959,Відклав візит,,,12,,2005,Обіцяв бути,---
13,1964,Зайшов,,,13,,2008,Обіцяв бути,---
14,1975,Зайшов,,,14,,2010,Обіцяв бути,---
15,1976,Зайшов,,,15,,2013,Обіцяв бути,---
16,1981,Зайшов,,,16,,2016,Обіцяв бути,---
17,1987,Зайшов,,,17,,2017,Обіцяв бути,---
18,1988,Не зайшов,,,18,,2018,Обіцяв бути,---
19,1989,Відклав візит,,,19,,2019,Обіцяв бути,---
20,1991,Не зайшов,,,20,,2027,Обіцяв бути,---
21,1992,Не зайшов,,,21,,2043,Обіцяв бути,---
22,2001,Не зайшов,,,22,,2045,Обіцяв бути,---
23,2005,Не зайшов,,,23,,2046,Обіцяв бути,---
24,2008,Не зайшов,,,24,,2049,Обіцяв бути,---
25,2010,Відклав візит,,,25,,2053,Обіцяв бути,---
26,2013,Не зайшов,,,26,,2054,Обіцяв бути,---
27,2015,Відклав візит,,,27,,2055,Обіцяв бути,---
28,2016,Не зайшов,,,28,,2064,Обіцяв бути,---
29,2017,Не зайшов,,,29,,2065,Обіцяв бути,---
30,2020,Відклав візит,,,30,,2071,Обіцяв бути,---
31,2027,Не зайшов,,,31,,2073,Обіцяв бути,---
32,2043,Не зайшов,,,32,,2075,Обіцяв бути,---
33,2045,Не зайшов,,,33,,2087,Обіцяв бути,---
34,2046,Не зайшов,,,34,,2088,Обіцяв бути,---
35,2049,Не зайшов,,,35,,2095,Обіцяв бути,---
36,2053,Не зайшов,,,36,,2099,Обіцяв бути,---
37,2054,Не зайшов,,,37,,2114,Обіцяв бути,---
38,2056,Відклав візит,,,38,,2115,Обіцяв бути,---
39,2065,Не зайшов,,,39,,2119,Обіцяв бути,---
40,2071,Не зайшов,,,40,,2122,Обіцяв бути,---
41,2073,Не зайшов,,,41,,2123,Обіцяв бути,---
42,2081,Відклав візит,,,42,,2125,Обіцяв бути,---
43,2087,Не зайшов,,,43,,2126,Обіцяв бути,---
44,2088,Не зайшов,,,44,,2154,Обіцяв бути,---
45,2095,Не зайшов,,,45,,2162,Обіцяв бути,---
46,2099,Не зайшов,,,46,,2166,Обіцяв бути,---
47,2115,Не зайшов,,,47,,2169,Обіцяв бути,---
48,2122,Не зайшов,,,48,,2170,Обіцяв бути,---
49,2123,Не зайшов,,,49,,2176,Обіцяв бути,---
50,2125,Не зайшов,,,50,,2180,Обіцяв бути,---
51,2126,Не зайшов,,,51,,2191,Обіцяв бути,---
