"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,30.10.2025 (10:00 - 14:00),,,Поточний прийом:,,31.10.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3583,Зайшов,,,1,,3332,Обіцяв бути,---,,Відсутній,Остання спроба,3769
2,3584,Зайшов,,,2,,3485,Обіцяв бути,---,,Відсутній,Остання спроба,3776
3,3585,Зайшов,,,3,,3578,Обіцяв бути,---,,Відсутній,Остання спроба,3791
4,3718,Зайшов,,,4,Остання спроба,3724,Обіцяв бути,---,,Відсутній,Остання спроба,3792
5,3765,Зайшов,,,5,Остання спроба,3756,Обіцяв бути,---,,Відсутній,Остання спроба,3816
6,3769,Не з'явився,п.8,,6,Остання спроба,3769,Обіцяв бути,---,,Попередній 6,Остання спроба,3819
7,3772,Зайшов,,,7,Остання спроба,3776,Обіцяв бути,---,,Попередній 8,Остання спроба,3820
8,3776,Не з'явився,п.8,,8,Остання спроба,3791,Обіцяв бути,---,,Попередній 11,Остання спроба,3823
9,3777,Зайшов,,,9,Остання спроба,3792,Обіцяв бути,---,,Попередній 12,Остання спроба,3834
10,3780,Зайшов,,,10,,3793,Обіцяв бути,---,,Відсутній,Остання спроба,3840
11,3791,Не з'явився,п.8,,11,,3797,Обіцяв бути,---,,Відсутній,Остання спроба,3843
12,3792,Не з'явився,п.8,,12,,3810,Обіцяв бути,---,,Відсутній,Остання спроба,3849
13,3816,Не з'явився,п.8,,13,Остання спроба,3816,Обіцяв бути,---,,Попередній 13,Остання спроба,3856
14,3819,Не з'явився,п.8,,14,Остання спроба,3819,Обіцяв бути,---,,Попередній 14,Остання спроба,3857
15,3820,Не з'явився,п.8,,15,Остання спроба,3820,Обіцяв бути,---,,Попередній 15,Остання спроба,3858
16,3823,Не з'явився,п.8,,16,Остання спроба,3823,Обіцяв бути,---,,Попередній 16,Остання спроба,3859
17,3834,Не з'явився,п.8,,17,Остання спроба,3834,Обіцяв бути,---,,Попередній 17,,3871
18,3835,Зайшов,,,18,Остання спроба,3840,Обіцяв бути,---,,Попередній 19,,3873
19,3840,Не з'явився,п.8,,19,Остання спроба,3843,Обіцяв бути,---,,Попередній 20,,3879
20,3843,Не з'явився,п.8,,20,Остання спроба,3849,Обіцяв бути,---,,Попередній 21,,3898
21,3849,Не з'явився,п.8,,21,,3850,Обіцяв бути,---,,Відсутній,,3910
22,3851,Зайшов,,,22,,3854,Обіцяв бути,---,,Відсутній,,3918
23,3856,Не з'явився,п.8,,23,Остання спроба,3856,Обіцяв бути,---,,Попередній 23,,3924
24,3857,Не з'явився,п.8,,24,Остання спроба,3857,Обіцяв бути,---,,Попередній 24,,3926
25,3858,Не з'явився,п.8,,25,Остання спроба,3858,Обіцяв бути,---,,Попередній 25,,3929
26,3859,Не з'явився,п.8,,26,Остання спроба,3859,Обіцяв бути,---,,Попередній 26,,3930
27,3870,Зайшов,,,27,,3871,Обіцяв бути,---,,Попередній 28,,3934
28,3871,Не зайшов,,,28,,3873,Обіцяв бути,---,,Попередній 29,,3935
29,3873,Не зайшов,,,29,,3879,Обіцяв бути,---,,Попередній 30,,3944
30,3879,Не зайшов,,,30,,3898,Обіцяв бути,---,,Попередній 31,,3945
31,3898,Не зайшов,,,31,,3910,Обіцяв бути,---,,Попередній 32,,3948
32,3910,Не зайшов,,,32,,3918,Обіцяв бути,---,,Попередній 33,,3964
33,3918,Не зайшов,,,33,,3924,Обіцяв бути,---,,Попередній 35,,3967
34,3922,Зайшов (за живою чергою),,,34,,3926,Обіцяв бути,---,,Попередній 36,,3971
35,3924,Не зайшов,,,35,,3929,Обіцяв бути,---,,Попередній 37,,3982
36,3926,Не зайшов,,,36,,3930,Обіцяв бути,---,,Попередній 38,,3990
37,3929,Не зайшов,,,37,,3934,Обіцяв бути,---,,Попередній 39,,4000
38,3930,Не зайшов,,,38,,3935,Обіцяв бути,---,,Попередній 40,,4001
39,3934,Не зайшов,,,39,,3944,Обіцяв бути,---,,Попередній 41,,4003
40,3935,Не зайшов,,,40,,3945,Обіцяв бути,---,,Попередній 42,,4011
41,3944,Не зайшов,,,41,,3948,Обіцяв бути,---,,Попередній 43,,4014
