"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,28.07.2025 (08:30 - 14:00),,,NEXT DAY:,,29.07.2025 (10:00 - 16:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1641,Зайшов,,,1,,1604,Обіцяв бути,---
2,1893,Зайшов,,,2,остання спроба,1817,Обіцяв бути,---
3,1963,Зайшов,,,3,,1878,Обіцяв бути,---
4,2004,Зайшов,,,4,,1908,Обіцяв бути,---
5,2011,Зайшов,,,5,,2015,Обіцяв бути,---
6,2017,Зайшов,,,6,,2020,Обіцяв бути,---
7,2018,Зайшов,,,7,,2033,Обіцяв бути,---
8,2031,Зайшов,,,8,остання спроба,2043,Обіцяв бути,---
9,2043,Не з'явився,п.8,,9,остання спроба,2053,Обіцяв бути,---
10,2045,Зайшов,,,10,,2060,Обіцяв бути,---
11,2046,Зайшов,,,11,,2073,Обіцяв бути,---
12,2049,Зайшов,,,12,,2081,Обіцяв бути,---
13,2051,Зайшов,,,13,,2087,Обіцяв бути,---
14,2053,Не з'явився,п.8,,14,,2088,Обіцяв бути,---
15,2054,Зайшов,,,15,,2095,Обіцяв бути,---
16,2055,Зайшов,,,16,,2099,Обіцяв бути,---
17,2056,Зайшов,,,17,,2105,Обіцяв бути,---
18,2064,Зайшов,,,18,,2114,Обіцяв бути,---
19,2065,Зайшов,,,19,,2115,Обіцяв бути,---
20,2071,Зайшов,,,20,,2116,Обіцяв бути,---
21,2073,Відклав візит,,,21,,2119,Обіцяв бути,---
22,2075,Зайшов,,,22,,2121,Обіцяв бути,---
23,2086,Зайшов,,,23,,2122,Обіцяв бути,---
24,2087,Не зайшов,,,24,,2123,Обіцяв бути,---
25,2088,Не зайшов,,,25,,2125,Обіцяв бути,---
26,2095,Не зайшов,,,26,,2142,Обіцяв бути,---
27,2097,Не зайшов,,,27,,2143,Обіцяв бути,---
28,2099,Не зайшов,,,28,,2154,Обіцяв бути,---
29,2105,Не зайшов,,,29,,2162,Обіцяв бути,---
30,2114,Не зайшов,,,30,,2166,Обіцяв бути,---
31,2115,Не зайшов,,,31,,2168,Обіцяв бути,---
32,2116,Не зайшов,,,32,,2169,Обіцяв бути,---
