"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,24.09.2025 (08:30 - 14:00),,,NEXT DAY:,,25.09.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,3175,Не з'явився,в кінець черги,,1,,3202,Обіцяв бути,---,,#N/A
2,3228,Зайшов,,,2,,3265,Обіцяв бути,---,,#N/A
3,3232,Зайшов,,,3,,3270,Обіцяв бути,---,,#N/A
4,3264,Зайшов,,,4,,3284,Обіцяв бути,---,,#N/A
5,3271,Не з'явився,в кінець черги,,5,,3286,Обіцяв бути,---,,#N/A
6,3272,Не з'явився,в кінець черги,,6,,3292,Обіцяв бути,---,,#N/A
7,3273,Не з'явився,в кінець черги,,7,,3295,Обіцяв бути,---,,#N/A
8,3274,Не з'явився,в кінець черги,,8,Остання спроба,3314,Обіцяв бути,---,,#N/A
9,3275,Не з'явився,в кінець черги,,9,Остання спроба,3316,Обіцяв бути,---,,#N/A
10,3280,Не з'явився,в кінець черги,,10,,3323,Обіцяв бути,---,,#N/A
11,3287,Не з'явився,в кінець черги,,11,Остання спроба,3325,Обіцяв бути,---,,#N/A
12,3298,Не з'явився,в кінець черги,,12,Остання спроба,3326,Обіцяв бути,---,,#N/A
13,3299,Не з'явився,в кінець черги,,13,Остання спроба,3341,Обіцяв бути,---,,#N/A
14,3303,Не з'явився,в кінець черги,,14,Остання спроба,3342,Обіцяв бути,---,,#N/A
15,3307,Не з'явився,в кінець черги,,15,Остання спроба,3349,Обіцяв бути,---,,#N/A
16,3309,Зайшов,,,16,Остання спроба,3357,Обіцяв бути,---,,#N/A
17,3310,Не з'явився,в кінець черги,,17,Остання спроба,3392,Обіцяв бути,---,,#N/A
18,3314,Не з'явився,п.8,,18,,3393,Обіцяв бути,---,,11
19,3316,Не з'явився,п.8,,19,Остання спроба,3395,Обіцяв бути,---,,12
20,3317,Не з'явився,п.8,,20,Остання спроба,3397,Обіцяв бути,---,,#N/A
21,3325,Не з'явився,п.8,,21,Остання спроба,3399,Обіцяв бути,---,,14
22,3326,Не з'явився,п.8,,22,Остання спроба,3405,Обіцяв бути,---,,15
23,3328,Не з'явився,п.8,,23,,3409,Обіцяв бути,---,,#N/A
24,3329,Не з'явився,п.8,,24,Остання спроба,3411,Обіцяв бути,---,,#N/A
25,3334,Не з'явився,п.8,,25,Остання спроба,3426,Обіцяв бути,---,,#N/A
26,3341,Не з'явився,п.8,,26,Остання спроба,3429,Обіцяв бути,---,,16
27,3342,Не з'явився,п.8,,27,Остання спроба,3431,Обіцяв бути,---,,17
28,3345,Не з'явився,п.8,,28,,3433,Обіцяв бути,---,,#N/A
