"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,20.10.2025 (08:30 - 14:00),,,Поточний прийом:,,21.10.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3428,Зайшов,,,1,,3241,Обіцяв бути,---,,Відсутній,,3545
2,3450,Зайшов,,,2,,3356,Обіцяв бути,---,,Відсутній,,3549
3,3505,Зайшов,,,3,,3541,Обіцяв бути,---,,Відсутній,,3552
4,3518,Зайшов,,,4,,3545,Обіцяв бути,---,,Попередній 6,,3555
5,3526,Відклав візит,,,5,,3549,Обіцяв бути,---,,Попередній 9,,3564
6,3545,Не зайшов,,,6,,3552,Обіцяв бути,---,,Попередній 10,,3571
7,3546,Зайшов (за живою чергою),,,7,,3555,Обіцяв бути,---,,Попередній 11,,3573
8,3548,Відклав візит,,,8,,3564,Обіцяв бути,---,,Попередній 12,,3576
9,3549,Не зайшов,,,9,,3571,Обіцяв бути,---,,Попередній 13,,3579
10,3552,Не зайшов,,,10,,3573,Обіцяв бути,---,,Попередній 14,,3594
11,3555,Не зайшов,,,11,,3576,Обіцяв бути,---,,Попередній 15,остання спроба,3597
12,3564,Не зайшов,,,12,,3579,Обіцяв бути,---,,Попередній 16,остання спроба,3604
13,3571,Не зайшов,,,13,,3594,Обіцяв бути,---,,Попередній 17,,3608
14,3573,Не зайшов,,,14,остання спроба,3597,Обіцяв бути,---,,Попередній 18,,3647
15,3576,Не зайшов,,,15,остання спроба,3604,Обіцяв бути,---,,Попередній 19,,3654
16,3579,Не зайшов,,,16,,3608,Обіцяв бути,---,,Попередній 20,,3656
17,3594,Не зайшов,,,17,,3614,Обіцяв бути,---,,Відсутній,,3659
18,3597,Не зайшов,остання спроба,,18,,3617,Обіцяв бути,---,,Відсутній,,3660
19,3604,Не зайшов,остання спроба,,19,,3639,Обіцяв бути,---,,Відсутній,,3669
20,3608,Не зайшов,,,20,,3647,Обіцяв бути,---,,Попередній 21,,3670
21,3647,Не зайшов,,,21,,3654,Обіцяв бути,---,,Попередній 22,,3671
22,3654,Не зайшов,,,22,,3656,Обіцяв бути,---,,Попередній 23,,3672
23,3656,Не зайшов,,,23,,3659,Обіцяв бути,---,,Попередній 24,,3678
24,3659,Не зайшов,,,24,,3660,Обіцяв бути,---,,Попередній 25,,3689
25,3660,Не зайшов,,,25,,3669,Обіцяв бути,---,,Попередній 26,,3692
26,3669,Не зайшов,,,26,,3670,Обіцяв бути,---,,Попередній 27,,3694
27,3670,Не зайшов,,,27,,3671,Обіцяв бути,---,,Попередній 28,,3695
28,3671,Не зайшов,,,28,,3672,Обіцяв бути,---,,Попередній 29,,3696
29,3672,Не зайшов,,,29,,3678,Обіцяв бути,---,,Попередній 30,,3701
30,3678,Не зайшов,,,30,,3689,Обіцяв бути,---,,Попередній 31,,3704
31,3689,Не зайшов,,,31,,3692,Обіцяв бути,---,,Попередній 33,,3709
32,3691,Відклав візит,,,32,,3694,Обіцяв бути,---,,Попередній 34,,3711
33,3692,Не зайшов,,,33,,3695,Обіцяв бути,---,,Попередній 35,,3712
34,3694,Не зайшов,,,34,,3696,Обіцяв бути,---,,Попередній 36,,3714
35,3695,Не зайшов,,,35,,3701,Обіцяв бути,---,,Попередній 37,,3716
36,3696,Не зайшов,,,36,,3704,Обіцяв бути,---,,Попередній 38,,3718
37,3701,Не зайшов,,,37,,3709,Обіцяв бути,---,,Попередній 39,,3719
38,3704,Не зайшов,,,38,,3711,Обіцяв бути,---,,Попередній 40,,3724
39,3709,Не зайшов,,,39,,3712,Обіцяв бути,---,,Попередній 41,,3727
40,3711,Не зайшов,,,40,,3714,Обіцяв бути,---,,Попередній 42,"Ваш номер 3738, а не 3838",3738
41,3712,Не зайшов,,,41,,3716,Обіцяв бути,---,,Попередній 43,,3744
42,3714,Не зайшов,,,42,,3718,Обіцяв бути,---,,Попередній 44,,3745
43,3716,Не зайшов,,,43,,3719,Обіцяв бути,---,,Попередній 45,,3756
44,3718,Не зайшов,,,44,,3724,Обіцяв бути,---,,Попередній 46,,3762
45,3719,Не зайшов,,,45,,3727,Обіцяв бути,---,,Попередній 47,,3763
46,3724,Не зайшов,,,46,"Ваш номер 3738, а не 3838",3738,Обіцяв бути,---,,Попередній 48,,3765
47,3727,Не зайшов,,,47,,3744,Обіцяв бути,---,,Попередній 49,,3772
48,3738,Не зайшов,"Ваш номер 3738, а не 3838",,48,,3745,Обіцяв бути,---,,Попередній 50,,3776
49,3744,Не зайшов,,,49,,3756,Обіцяв бути,---,,Попередній 51,,3785
50,3745,Не зайшов,,,50,,3762,Обіцяв бути,---,,Попередній 52,"Ваш номер 3786, а не 3804",3786
51,3756,Не зайшов,,,51,,3763,Обіцяв бути,---,,Попередній 53,,3791
