"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,08.09.2025 (8:30 - 14:00),,,NEXT DAY:,,09.09.2025 (8:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2552,Зайшов,,,1,,2661,Обіцяв бути,---
2,2611,Зайшов,,,2,,2793,Обіцяв бути,---
3,2635,Зайшов,,,3,Остання спроба,2832,Обіцяв бути,---
4,2655,Зайшов,,,4,,2851,Обіцяв бути,---
5,2660,Зайшов,,,5,Остання спроба,2880,Обіцяв бути,---
6,2703,Зайшов,,,6,,2906,Обіцяв бути,---
7,2780,Зайшов,,,7,,2925,Обіцяв бути,---
8,2784,Зайшов,,,8,,2932,Обіцяв бути,---
9,2816,Зайшов,,,9,,2933,Обіцяв бути,---
10,2897,Зайшов,,,10,,2935,Обіцяв бути,---
11,2902,Зайшов,,,11,,2951,Обіцяв бути,---
12,2915,Зайшов,,,12,Остання спроба,2958,Обіцяв бути,---
13,2920,Зайшов,,,13,,2960,Обіцяв бути,---
14,2924,Не зайшов,,,14,,2963,Обіцяв бути,---
15,2925,Не зайшов,,,15,,2965,Обіцяв бути,---
16,2933,Не зайшов,,,16,,2970,Обіцяв бути,---
17,2935,Не зайшов,,,17,Остання спроба,2973,Обіцяв бути,---
18,2958,Не зайшов,Остання спроба,,18,Остання спроба,2991,Обіцяв бути,---
19,2960,Не зайшов,,,19,,3013,Обіцяв бути,---
20,2963,Не зайшов,,,20,,3022,Обіцяв бути,---
21,2965,Не зайшов,,,21,,3028,Обіцяв бути,---
22,2970,Не зайшов,,,22,Остання спроба,3049,Обіцяв бути,---
23,2973,Не зайшов,Остання спроба,,23,,3064,Обіцяв бути,---
24,2991,Не зайшов,Остання спроба,,24,,3071,Обіцяв бути,---
25,3013,Не зайшов,,,25,,3076,Обіцяв бути,---
26,3022,Не зайшов,,,26,,3083,Обіцяв бути,---
27,3028,Не зайшов,,,27,,3090,Обіцяв бути,---
28,3049,Не зайшов,Остання спроба,,28,,3095,Обіцяв бути,---
29,3064,Не зайшов,,,29,Остання спроба,3100,Обіцяв бути,---
30,3073,Не зайшов,,,30,Остання спроба,3106,Обіцяв бути,---
