"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,10.11.2025 (15:00 - 17:30),,,Поточний прийом:,,11.11.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
81,4363,Не зайшов,,,81,,4309,Обіцяв бути,---,04.12.2025
82,4371,Не зайшов,,,82,,4319,Обіцяв бути,---,04.12.2025
83,4373,Не зайшов,,,83,,4333,Обіцяв бути,---,05.12.2025
84,4390,Не зайшов,,,84,,4338,Обіцяв бути,---,08.12.2025
85,4396,Не зайшов,,,85,,4339,Обіцяв бути,---,08.12.2025
86,4406,Не зайшов,,,86,,4353,Відклав візит,19.12.2025,08.12.2025
87,4407,Не зайшов,,,87,,4360,Обіцяв бути,---,09.12.2025
88,4408,Відклав візит,,,88,,4363,Обіцяв бути,---,09.12.2025
89,4415,Не зайшов,,,89,,4371,Обіцяв бути,---,09.12.2025
90,4421,Не зайшов,,,90,,4373,Обіцяв бути,---,09.12.2025
91,4427,Не зайшов,,,91,,4390,Обіцяв бути,---,10.12.2025
92,4440,Не зайшов,,,92,,4396,Обіцяв бути,---,11.12.2025
93,4444,Не зайшов,,,93,,4406,Обіцяв бути,---,11.12.2025
94,4457,Не зайшов,,,94,,4407,Обіцяв бути,---,11.12.2025
95,4459,Не зайшов,,,95,,4415,Відклав візит,19.01.2026,12.12.2025
96,4470,Не зайшов,,,96,,4421,Обіцяв бути,---,12.12.2025
97,4473,Не зайшов,,,97,,4427,Обіцяв бути,---,12.12.2025
98,4486,Не зайшов,,,98,,4432,Відклав візит,11.12.2025,15.12.2025
99,4517,Не зайшов,,,99,,4440,Обіцяв бути,---,15.12.2025
100,4541,Не зайшов,,,100,,4444,Обіцяв бути,---,15.12.2025
101,4552,Не зайшов,,,101,,4457,Обіцяв бути,---,16.12.2025
102,4554,Не зайшов,,,102,,4459,Обіцяв бути,---,16.12.2025
103,4560,Не зайшов,,,103,,4470,Обіцяв бути,---,17.12.2025
104,4566,Не зайшов,,,104,,4473,Обіцяв бути,---,17.12.2025
105,4571,Не зайшов,,,105,,4484,Обіцяв бути,---,18.12.2025
106,4572,Не зайшов,,,106,,4485,Обіцяв бути,---,18.12.2025
107,4573,Не зайшов,,,107,,4486,Обіцяв бути,---,18.12.2025
108,4575,Не зайшов,,,108,,4503,Відклав візит,18.12.2025,19.12.2025
109,4577,Не зайшов,,,109,,4517,Обіцяв бути,---,19.12.2025
110,4580,Не зайшов,,,110,,4541,Обіцяв бути,---,23.12.2025
111,4584,Не зайшов,,,111,,4552,Обіцяв бути,---,23.12.2025
112,4586,Не зайшов,,,112,,4554,Обіцяв бути,---,24.12.2025
113,4598,Не зайшов,,,113,,4560,Обіцяв бути,---,24.12.2025
114,4605,Не зайшов,,,114,,4566,Обіцяв бути,---,24.12.2025
115,4606,Не зайшов,,,115,,4571,Обіцяв бути,---,24.12.2025
116,4613,Не зайшов,,,116,,4572,Обіцяв бути,---,25.12.2025
117,4623,Не зайшов,,,117,,4573,Обіцяв бути,---,25.12.2025
118,4674,Не зайшов,,,118,,4575,Обіцяв бути,---,25.12.2025
119,4698,Відклав візит,,,119,,4577,Обіцяв бути,---,25.12.2025
120,,,,,120,,4580,Обіцяв бути,---,25.12.2025
121,,,,,121,,4584,Обіцяв бути,---,25.12.2025
122,,,,,122,,4586,Обіцяв бути,---,25.12.2025
123,,,,,123,,4598,Обіцяв бути,---,26.12.2025
124,,,,,124,,4605,Обіцяв бути,---,26.12.2025
125,,,,,125,,4606,Обіцяв бути,---,26.12.2025
126,,,,,126,,4613,Обіцяв бути,---,29.12.2025
127,,,,,127,,4623,Обіцяв бути,---,29.12.2025
128,,,,,128,,4674,Обіцяв бути,---,01.01.2026
129,,,,,129,,4704,Обіцяв бути,---,05.01.2026
130,,,,,130,,4724,Обіцяв бути,---,06.01.2026
131,,,,,131
132,,,,,132
133,,,,,133
134,,,,,134
135,,,,,135
136,,,,,136
137,,,,,137
138,,,,,138
139,,,,,139
140,,,,,140
141,,,,,141
142,,,,,142
143,,,,,143
144,,,,,144
145,,,,,145
146,,,,,146
147,,,,,147
148,,,,,148
149,,,,,149
150,,,,,150
151,,,,,151
152,,,,,152
153,,,,,153
154,,,,,154
155,,,,,155
156,,,,,156
157,,,,,157
158,,,,,158
159,,,,,159
160,,,,,160
161,,,,,161
162,,,,,162
163,,,,,163
164,,,,,164
165,,,,,165
166,,,,,166
167,,,,,167
168,,,,,168
169,,,,,169
170,,,,,170
171,,,,,171
172,,,,,172
173,,,,,173
174,,,,,174
175,,,,,175
176,,,,,176
177,,,,,177
178,,,,,178
179,,,,,179
180,,,,,180
181,,,,,181
182,,,,,182
183,,,,,183
184,,,,,184
185,,,,,185
186,,,,,186
187,,,,,187
188,,,,,188
189,,,,,189
190,,,,,190
191,,,,,191
192,,,,,192
193,,,,,193
194,,,,,194
195,,,,,195
196,,,,,196
197,,,,,197
