"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
Попередній прийом:,,26.09.2025 (08:30 - 14:00),,,Поточний прийом:,,29.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2186,Зайшов,,,1,,2795,Обіцяв бути,---,,#N/A
2,3120,Не з'явився,пройшов,,2,,2894,Обіцяв бути,---,,#N/A
3,3314/1,Зайшов,,,3,,2983,Обіцяв бути,---,,#N/A
4,3431,Зайшов,,,4,,2988,Обіцяв бути,---,,#N/A
5,3433,Зайшов,,,5,остання спроба,3183,Обіцяв бути,---,,#N/A
6,3438,Зайшов,,,6,,3240,Обіцяв бути,---,,#N/A
7,3440,Відклав візит,,,7,,3294,Обіцяв бути,---,,#N/A
8,3447,Не з'явився,п.8,,8,,3358,Обіцяв бути,---,,15
9,3457,Не з'явився,п.8,,9,,3359,Обіцяв бути,---,,17
10,3458,Зайшов,,,10,,3376,Обіцяв бути,---,,#N/A
11,3461,Не зайшов,,,11,,3416,Обіцяв бути,---,,18
12,3464,Відклав візит,,,12,остання спроба,3447,Обіцяв бути,---,,#N/A
13,3468,Не зайшов,,,13,,3452,Обіцяв бути,---,,20
14,3470,Не зайшов,,,14,остання спроба,3457,Обіцяв бути,---,,21
15,3471,Не зайшов,,,15,,3461,Обіцяв бути,---,,22
16,3476,Не зайшов,,,16,,3467,Обіцяв бути,---,,#N/A
17,3483,Не зайшов,,,17,,3468,Обіцяв бути,---,,23
18,3490,Відклав візит,,,18,,3470,Обіцяв бути,---,,#N/A
19,3495,Не зайшов,,,19,,3471,Обіцяв бути,---,,24
20,3498,Не зайшов,,,20,,3483,Обіцяв бути,---,,25
21,3499,Не зайшов,,,21,,3495,Обіцяв бути,---,,26
22,3500,Не зайшов,,,22,,3498,Обіцяв бути,---,,27
23,3501,Не зайшов,,,23,,3499,Обіцяв бути,---,,28
24,3503,Відклав візит,,,24,,3500,Обіцяв бути,---,,29
25,3504,Не зайшов,,,25,,3501,Обіцяв бути,---,,30
26,3506,Не зайшов,,,26,,3503,Обіцяв бути,---,,31
27,3509,Не зайшов,,,27,,3504,Обіцяв бути,---,,32
28,3515,Не зайшов,,,28,,3506,Обіцяв бути,---,,33
29,3522,Не зайшов,,,29,,3509,Обіцяв бути,---,,34
30,3528,Не зайшов,,,30,,3515,Обіцяв бути,---,,35
31,3533,Не зайшов,,,31,,3522,Обіцяв бути,---,,36
32,3535,Не зайшов,,,32,,3528,Обіцяв бути,---,,#N/A
33,3537,Не зайшов,,,33,,3533,Обіцяв бути,---,,37
34,3542,Не зайшов,,,34,,3537,Обіцяв бути,---,,38
35,3561,Не зайшов,,,35,,3542,Обіцяв бути,---,,40
36,3581,Не зайшов,,,36,,3545,Обіцяв бути,---,,41
37,3604,Не зайшов,,,37,,3561,Обіцяв бути,---,,43
38,3608,Не зайшов,,,38,,3581,Обіцяв бути,---,,44
39,3654,Не зайшов,,,39,,3588,Обіцяв бути,---,,45
40,3656,Не зайшов,,,40,,3604,Обіцяв бути,---,,46
41,3659,Не зайшов,,,41,,3608,Обіцяв бути,---,,47
42,3660,Не зайшов,,,42,,3654,Обіцяв бути,---,,48
43,3664,Не зайшов,,,43,,3656,Обіцяв бути,---,,#N/A
44,3672,Не зайшов,,,44,,3659,Обіцяв бути,---,,49
45,3696,Не зайшов,,,45,,3660,Обіцяв бути,---,,50
46,3704,Не зайшов,,,46,,3672,Обіцяв бути,---,,51
