"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,23.10.2025 (08:30 - 14:00),,,Поточний прийом:,,24.10.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3576,Не з'явився,В кінець черги,,1,,3311,Обіцяв бути,---,,Відсутній,п.8,3654
2,3588,Не з'явився,В кінець черги,,2,,3520,Обіцяв бути,---,,Відсутній,п.8,3656
3,3619,Зайшов,,,3,,3550,Обіцяв бути,---,,Відсутній,п.8,3659
4,3643,Зайшов,,,4,,3611,Обіцяв бути,---,,Відсутній,п.8,3660
5,3647,Не з'явився,В кінець черги,,5,,3617,Обіцяв бути,---,,Відсутній,п.8,3669
6,3648,Не з'явився,В кінець черги,,6,Остання спроба,3656,Обіцяв бути,---,,Попередній 8,п.8,3671
7,3654,Не з'явився,п.8,,7,Остання спроба,3659,Обіцяв бути,---,,Попередній 9,п.8,3672
8,3656,Не з'явився,п.8,,8,Остання спроба,3660,Обіцяв бути,---,,Попередній 10,п.8,3678
9,3659,Не з'явився,п.8,,9,Остання спроба,3669,Обіцяв бути,---,,Попередній 11,п.8,3689
10,3660,Не з'явився,п.8,,10,Остання спроба,3671,Обіцяв бути,---,,Попередній 13,п.8,3692
11,3669,Не з'явився,п.8,,11,Остання спроба,3672,Обіцяв бути,---,,Попередній 14,п.8,3695
12,3670,Зайшов,,,12,Остання спроба,3678,Обіцяв бути,---,,Попередній 16,п.8,3696
13,3671,Не з'явився,п.8,,13,Остання спроба,3689,Обіцяв бути,---,,Попередній 18,п.8,3701
14,3672,Не з'явився,п.8,,14,Остання спроба,3692,Обіцяв бути,---,,Попередній 19,п.8,3704
15,3677,Зайшов,,,15,Остання спроба,3695,Обіцяв бути,---,,Попередній 21,,3709
16,3678,Не з'явився,п.8,,16,Остання спроба,3696,Обіцяв бути,---,,Попередній 22,,3711
17,3684,Зайшов,,,17,Остання спроба,3701,Обіцяв бути,---,,Попередній 23,,3712
18,3689,Не з'явився,п.8,,18,Остання спроба,3704,Обіцяв бути,---,,Попередній 24,,3714
19,3692,Не з'явився,п.8,,19,,3709,Обіцяв бути,---,,Попередній 26,,3716
20,3694,Відклав візит,п.8,,20,,3711,Обіцяв бути,---,,Попередній 27,,3719
21,3695,Не з'явився,п.8,,21,,3712,Обіцяв бути,---,,Попередній 28,,3724
22,3696,Не з'явився,п.8,,22,,3714,Обіцяв бути,---,,Попередній 29,,3727
23,3701,Не з'явився,п.8,,23,,3716,Обіцяв бути,---,,Попередній 30,,3744
24,3704,Не з'явився,п.8,,24,,3719,Обіцяв бути,---,,Попередній 32,,3756
25,3705,Зайшов,,,25,,3724,Обіцяв бути,---,,Попередній 33,,3762
26,3709,Не зайшов,,,26,,3727,Обіцяв бути,---,,Попередній 34,,3763
27,3711,Не зайшов,,,27,,3744,Обіцяв бути,---,,Попередній 37,,3765
28,3712,Не зайшов,,,28,,3745,Обіцяв бути,---,,Відсутній,,3769
29,3714,Не зайшов,,,29,,3756,Обіцяв бути,---,,Попередній 38,,3772
30,3716,Не зайшов,,,30,,3761,Обіцяв бути,---,,Відсутній,,3776
31,3718,Відклав візит,,,31,,3762,Обіцяв бути,---,,Попередній 39,,3785
32,3719,Не зайшов,,,32,,3763,Обіцяв бути,---,,Попередній 40,,3791
33,3724,Не зайшов,,,33,,3765,Обіцяв бути,---,,Попередній 41,,3792
34,3727,Не зайшов,,,34,,3769,Обіцяв бути,---,,Попередній 42,,3794
35,3738,Зайшов (за живою чергою),,,35,,3770,Обіцяв бути,---,,Відсутній,,3795
36,3739,Зайшов (за живою чергою),,,36,,3772,Обіцяв бути,---,,Попередній 43,,3819
37,3744,Не зайшов,,,37,,3776,Обіцяв бути,---,,Попередній 44,,3820
38,3756,Не зайшов,,,38,,3785,Обіцяв бути,---,,Попередній 45,,3823
39,3762,Не зайшов,,,39,,3791,Обіцяв бути,---,,Попередній 47,,3834
40,3763,Не зайшов,,,40,,3792,Обіцяв бути,---,,Попередній 48,,3838
