"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,29.10.2025 (15:00 - 17:30),,,Поточний прийом:,,30.10.2025 (10:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3530,Зайшов,,,1,,3583,Обіцяв бути,---,,Відсутній,,3765
2,3663,Не з'явився,В кінець черги,,2,,3584,Обіцяв бути,---,,Відсутній,,3769
3,3664,Зайшов,,,3,,3585,Обіцяв бути,---,,Відсутній,,3772
4,3667,Не з'явився,В кінець черги,,4,,3718,Обіцяв бути,---,,Відсутній,,3776
5,3679,Зайшов,,,5,,3765,Обіцяв бути,---,,Попередній 11,,3791
6,3715,Не з'явився,В кінець черги,,6,,3769,Обіцяв бути,---,,Попередній 12,,3792
7,3739,Зайшов,,,7,,3772,Обіцяв бути,---,,Попередній 13,,3819
8,3754,Зайшов,Остання спроба,,8,,3776,Обіцяв бути,---,,Попередній 14,,3820
9,3762,Не з'явився,В кінець черги,,9,,3777,Обіцяв бути,---,,Відсутній,,3823
10,3763,Зайшов,Остання спроба,,10,,3780,Обіцяв бути,---,,Відсутній,,3834
11,3765,Не зайшов,,,11,,3791,Обіцяв бути,---,,Попередній 15,,3840
12,3769,Не зайшов,,,12,,3792,Обіцяв бути,---,,Попередній 16,,3843
13,3772,Не зайшов,,,13,,3816,Обіцяв бути,---,,Відсутній,,3849
14,3776,Не зайшов,,,14,,3819,Обіцяв бути,---,,Попередній 18,,3851
15,3791,Не зайшов,,,15,,3820,Обіцяв бути,---,,Попередній 19,,3856
16,3792,Не зайшов,,,16,,3823,Обіцяв бути,---,,Попередній 20,,3857
17,3794,Скасував,Пройшов,,17,,3834,Обіцяв бути,---,,Попередній 21,,3858
18,3819,Не зайшов,,,18,,3835,Обіцяв бути,---,,Відсутній,,3859
19,3820,Не зайшов,,,19,,3840,Обіцяв бути,---,,Попередній 22,,3871
20,3823,Не зайшов,,,20,,3843,Обіцяв бути,---,,Попередній 23,,3873
21,3834,Не зайшов,,,21,,3849,Обіцяв бути,---,,Попередній 24,,3879
22,3840,Не зайшов,,,22,,3851,Обіцяв бути,---,,Попередній 25,,3898
