"252 кабінет. Первинна черга. 
Список тих хто обіцяв бути присутнім на основі записів в Telegram Bot."
Попередній прийом:,,21.10.2025 (08:30 - 14:00),,,Поточний прийом:,,22.10.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",,Перевірка,Примітки,"ID
(номер первинної черги)"
1,3241,Зайшов,,,1,,3526,Обіцяв бути,---,,Відсутній,п.8,3571
2,3356,Зайшов,,,2,остання спроба,3571,Обіцяв бути,---,,Попередній 9,,3576
3,3541,Зайшов,,,3,,3572,Обіцяв бути,---,,Відсутній,,3579
4,3545,Зайшов,,,4,,3576,Обіцяв бути,---,,Попередній 11,,3594
5,3549,Зайшов,,,5,,3579,Обіцяв бути,---,,Попередній 12,остання спроба,3597
6,3552,Зайшов,,,6,,3588,Обіцяв бути,---,,Відсутній,остання спроба,3604
7,3555,Зайшов,,,7,,3594,Обіцяв бути,---,,Попередній 13,,3608
8,3564,Зайшов,,,8,остання спроба,3597,Обіцяв бути,---,,Попередній 14,,3614
9,3571,Не з'явився,п.8,,9,остання спроба,3604,Обіцяв бути,---,,Попередній 15,,3647
10,3573,Зайшов,,,10,,3608,Обіцяв бути,---,,Попередній 16,,3654
11,3576,Не зайшов,,,11,,3614,Обіцяв бути,---,,Попередній 17,,3656
12,3579,Не зайшов,,,12,,3647,Обіцяв бути,---,,Попередній 20,,3659
13,3594,Не зайшов,,,13,,3648,Обіцяв бути,---,,Відсутній,,3660
14,3597,Не зайшов,остання спроба,,14,,3651,Обіцяв бути,---,,Відсутній,,3669
15,3604,Не зайшов,остання спроба,,15,,3654,Обіцяв бути,---,,Попередній 21,,3670
16,3608,Не зайшов,,,16,,3656,Обіцяв бути,---,,Попередній 22,,3671
17,3614,Не зайшов,,,17,,3659,Обіцяв бути,---,,Попередній 23,,3672
18,3617,Відклав візит,,,18,,3660,Обіцяв бути,---,,Попередній 24,,3678
19,3639,Відклав візит,,,19,,3669,Обіцяв бути,---,,Попередній 25,,3689
20,3647,Не зайшов,,,20,,3670,Обіцяв бути,---,,Попередній 26,,3692
21,3654,Не зайшов,,,21,,3671,Обіцяв бути,---,,Попередній 27,,3694
22,3656,Не зайшов,,,22,,3672,Обіцяв бути,---,,Попередній 28,,3695
23,3659,Не зайшов,,,23,,3678,Обіцяв бути,---,,Попередній 29,,3696
24,3660,Не зайшов,,,24,,3684,Обіцяв бути,---,,Відсутній,,3701
25,3669,Не зайшов,,,25,,3689,Обіцяв бути,---,,Попередній 30,,3704
26,3670,Не зайшов,,,26,,3691,Обіцяв бути,---,,Відсутній,,3709
27,3671,Не зайшов,,,27,,3692,Обіцяв бути,---,,Попередній 31,,3711
28,3672,Не зайшов,,,28,,3694,Обіцяв бути,---,,Попередній 32,,3712
29,3678,Не зайшов,,,29,,3695,Обіцяв бути,---,,Попередній 33,,3714
30,3689,Не зайшов,,,30,,3696,Обіцяв бути,---,,Попередній 34,,3716
31,3692,Не зайшов,,,31,,3701,Обіцяв бути,---,,Попередній 35,,3718
32,3694,Не зайшов,,,32,,3704,Обіцяв бути,---,,Попередній 36,,3719
33,3695,Не зайшов,,,33,,3709,Обіцяв бути,---,,Попередній 37,,3724
34,3696,Не зайшов,,,34,,3711,Обіцяв бути,---,,Попередній 38,,3727
35,3701,Не зайшов,,,35,,3712,Обіцяв бути,---,,Попередній 39,"Ваш номер 3738, а не 3838",3738
36,3704,Не зайшов,,,36,,3714,Обіцяв бути,---,,Попередній 40,,3744
37,3709,Не зайшов,,,37,,3716,Обіцяв бути,---,,Попередній 41,,3745
38,3711,Не зайшов,,,38,,3718,Обіцяв бути,---,,Попередній 42,,3756
39,3712,Не зайшов,,,39,,3719,Обіцяв бути,---,,Попередній 43,,3762
40,3714,Не зайшов,,,40,,3724,Обіцяв бути,---,,Попередній 44,,3763
41,3716,Не зайшов,,,41,,3727,Обіцяв бути,---,,Попередній 45,,3765
42,3718,Не зайшов,,,42,,3737,Обіцяв бути,---,,Відсутній,,3769
43,3719,Не зайшов,,,43,"Ваш номер 3738, а не 3838",3738,Обіцяв бути,---,,Попередній 46,,3772
44,3724,Не зайшов,,,44,,3744,Обіцяв бути,---,,Попередній 47,,3776
45,3727,Не зайшов,,,45,,3745,Обіцяв бути,---,,Попередній 48,,3785
46,3738,Не зайшов,"Ваш номер 3738, а не 3838",,46,,3756,Обіцяв бути,---,,Попередній 49,"Ваш номер 3786, а не 3804",3786
47,3744,Не зайшов,,,47,,3762,Обіцяв бути,---,,Попередній 50,,3791
48,3745,Не зайшов,,,48,,3763,Обіцяв бути,---,,Попередній 51,,3792
49,3756,Не зайшов,,,49,,3765,Обіцяв бути,---,,Попередній 52,,3794
50,3762,Не зайшов,,,50,,3769,Обіцяв бути,---,,Попередній 53,,3795
