"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,18.07.2025 (8:30 - 14:00),,,NEXT DAY:,,21.07.2025 (14:00 - 16:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1763,Відклав візит,є в TODO,,1,,1806,Обіцяв бути,---
2,1815,Зайшов,,,2,остання спроба,1829,Обіцяв бути,---
3,1831,Зайшов,,,3,,1845,Обіцяв бути,---
4,1834,Зайшов,,,4,паспорт,1851,Обіцяв бути,---
5,1837,Зайшов,,,5,,1864,Обіцяв бути,---
6,1864,Не зайшов,,,6,,1873,Обіцяв бути,---
7,1888,Не зайшов,,,7,,1888,Обіцяв бути,---
8,1898,Не зайшов,,,8,,1898,Обіцяв бути,---
9,1908,Відклав візит,є в TODO,,9,,1912,Обіцяв бути,---
10,1912,Не зайшов,остання спроба,,10,,1915,Обіцяв бути,---
11,1915,Не зайшов,,,11,,1945,Обіцяв бути,---
12,1954,Відклав візит,є в TODO,,12,,1956,Обіцяв бути,---
13,1956,Не зайшов,остання спроба,,13,список,1969,Обіцяв бути,---
14,1969,Не зайшов,список,,14,,1975,Обіцяв бути,---
15,1975,Не зайшов,,,15,,1988,Обіцяв бути,---
16,1989,Не зайшов,,,16,,1989,Обіцяв бути,---
17,1991,Відклав візит,є в TODO,,17,,1991,Обіцяв бути,---
18,2001,Не зайшов,,,18,,1992,Обіцяв бути,---
19,2010,Не зайшов,,,19,,2001,Обіцяв бути,---
20,2013,Відклав візит,є в TODO,,20,,2005,Обіцяв бути,---
21,2016,Не зайшов,,,21,,2010,Обіцяв бути,---
22,2017,Не зайшов,,,22,,2016,Обіцяв бути,---
23,2018,Не зайшов,,,23,,2017,Обіцяв бути,---
24,2030,Відклав візит,є в TODO,,24,,2018,Обіцяв бути,---
25,2031,Не зайшов,,,25,,2019,Обіцяв бути,---
26,2043,Не зайшов,,,26,,2027,Обіцяв бути,---
27,2045,Не зайшов,,,27,,2032,Обіцяв бути,---
28,2046,Не зайшов,,,28,,2043,Обіцяв бути,---
29,2049,Не зайшов,,,29,,2045,Обіцяв бути,---
30,2053,Не зайшов,,,30,,2046,Обіцяв бути,---
31,2055,Не зайшов,,,31,,2049,Обіцяв бути,---
32,2065,Не зайшов,,,32,,2053,Обіцяв бути,---
33,2073,Не зайшов,,,33,,2055,Обіцяв бути,---
34,2081,Не зайшов,,,34,,2056,Обіцяв бути,---
