"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,27.11.2025 (9:00 - 14:00),,,Поточний прийом:,,28.11.2025 (9:00 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту
52,4315,Не зайшов,,,52,,4315,Обіцяв бути,---,12.12.2025
53,4319,Не зайшов,,,53,,4319,Обіцяв бути,---,12.12.2025
54,4328,Не зайшов,,,54,,4328,Обіцяв бути,---,12.12.2025
55,4333,Не зайшов,,,55,,4333,Обіцяв бути,---,15.12.2025
56,4338,Не зайшов,,,56,,4338,Обіцяв бути,---,15.12.2025
57,4339,Не зайшов,,,57,,4339,Обіцяв бути,---,15.12.2025
58,4354,Не зайшов,,,58,,4354,Обіцяв бути,---,16.12.2025
59,4360,Не зайшов,,,59,,4360,Обіцяв бути,---,16.12.2025
60,4363,Не зайшов,,,60,,4363,Обіцяв бути,---,16.12.2025
61,4371,Не зайшов,,,61,,4371,Обіцяв бути,---,17.12.2025
62,4373,Не зайшов,,,62,,4373,Обіцяв бути,---,17.12.2025
63,4390,Не зайшов,,,63,,4390,Обіцяв бути,---,18.12.2025
64,4394,Не зайшов,,,64,,4394,Обіцяв бути,---,18.12.2025
65,4396,Не зайшов,,,65,,4396,Обіцяв бути,---,18.12.2025
66,4406,Не зайшов,,,66,,4406,Обіцяв бути,---,19.12.2025
67,4407,Не зайшов,,,67,,4407,Обіцяв бути,---,19.12.2025
68,4417,Не зайшов,,,68,,4417,Обіцяв бути,---,19.12.2025
69,4420,Відклав візит,,,69,,4421,Обіцяв бути,---,19.12.2025
70,4421,Не зайшов,,,70,,4424,Обіцяв бути,---,22.12.2025
71,4424,Не зайшов,,,71,,4427,Обіцяв бути,---,22.12.2025
72,4427,Не зайшов,,,72,,4440,Обіцяв бути,---,22.12.2025
73,4440,Не зайшов,,,73,,4444,Обіцяв бути,---,23.12.2025
74,4444,Не зайшов,,,74,,4459,Обіцяв бути,---,24.12.2025
75,4459,Не зайшов,,,75,,4470,Обіцяв бути,---,24.12.2025
76,4470,Не зайшов,,,76,,4473,Обіцяв бути,---,24.12.2025
77,4473,Не зайшов,,,77,,4476,Обіцяв бути,---,24.12.2025
78,4476,Не зайшов,,,78,,4484,Обіцяв бути,---,25.12.2025
