"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,19.09.2025 (15:00 - 17:30),,,NEXT DAY:,,22.09.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2863,Зайшов,Остання спроба,,1,,2705,Обіцяв бути,---,,#N/A
2,3205,Не з'явився,В кінець черги,,2,,2979,Обіцяв бути,---,,#N/A
3,3210,Зайшов,Остання спроба,,3,,3073,Обіцяв бути,---,,#N/A
4,3216,Не з'явився,В кінець черги,,4,,3119,Обіцяв бути,---,,#N/A
5,3217,Не з'явився,В кінець черги,,5,Остання спроба,3243,Обіцяв бути,---,,#N/A
6,3224,Не з'явився,В кінець черги,,6,,3255,Обіцяв бути,---,,#N/A
7,3225,Не з'явився,В кінець черги,,7,,3256,Обіцяв бути,---,,#N/A
8,3227,Не з'явився,В кінець черги,,8,,3259,Обіцяв бути,---,,#N/A
9,3233,Не з'явився,В кінець черги,,9,,3261,Обіцяв бути,---,,#N/A
10,3235,Відклав візит,Остання спроба,,10,,3262,Обіцяв бути,---,,#N/A
11,3236,Не з'явився,В кінець черги,,11,,3263,Обіцяв бути,---,,#N/A
12,3238,Не з'явився,В кінець черги,,12,,3266,Обіцяв бути,---,,#N/A
13,3243,Відклав візит,Остання спроба,,13,,3267,Обіцяв бути,---,,8
14,3245,Не з'явився,В кінець черги,,14,,3271,Обіцяв бути,---,,#N/A
15,3249,Не з'явився,В кінець черги,,15,,3272,Обіцяв бути,---,,#N/A
16,3251,Зайшов,,,16,,3273,Обіцяв бути,---,,#N/A
17,3253,Відклав візит,Остання спроба,,17,,3274,Обіцяв бути,---,,#N/A
18,3255,Не зайшов,,,18,,3275,Обіцяв бути,---,,9
19,3256,Не зайшов,,,19,,3279,Обіцяв бути,---,,10
20,3259,Не зайшов,,,20,,3280,Обіцяв бути,---,,11
21,3260,Не зайшов,,,21,,3287,Обіцяв бути,---,,#N/A
22,3261,Не зайшов,,,22,,3288,Обіцяв бути,---,,12
23,3262,Не зайшов,,,23,,3290,Обіцяв бути,---,,13
24,3263,Не зайшов,,,24,,3298,Обіцяв бути,---,,14
25,3266,Не зайшов,,,25,,3299,Обіцяв бути,---,,15
26,3267,Не зайшов,,,26,,3303,Обіцяв бути,---,,16
27,3271,Не зайшов,,,27,,3307,Обіцяв бути,---,,17
28,3272,Не зайшов,,,28,,3309,Обіцяв бути,---,,18
29,3273,Не зайшов,,,29,,3310,Обіцяв бути,---,,19
30,3274,Не зайшов,,,30,,3314,Обіцяв бути,---,,20
31,3275,Не зайшов,,,31,,3317,Обіцяв бути,---,,21
32,3279,Не зайшов,,,32,,3325,Обіцяв бути,---,,22
33,3280,Не зайшов,,,33,,3326,Обіцяв бути,---,,23
34,3287,Не зайшов,,,34,,3328,Обіцяв бути,---,,24
35,3288,Не зайшов,,,35,,3329,Обіцяв бути,---,,25
36,3292,Відклав візит,,,36,,3334,Обіцяв бути,---,,#N/A
37,3298,Не зайшов,,,37,,3341,Обіцяв бути,---,,27
38,3299,Не зайшов,,,38,,3342,Обіцяв бути,---,,28
39,3303,Не зайшов,,,39,,3345,Обіцяв бути,---,,29
40,3307,Не зайшов,,,40,,3346,Обіцяв бути,---,,30
41,3309,Не зайшов,,,41,,3349,Обіцяв бути,---,,31
42,3310,Не зайшов,,,42,,3351,Обіцяв бути,---,,32
43,3314,Не зайшов,,,43,,3352,Обіцяв бути,---,,33
44,3325,Не зайшов,,,44,,3353,Обіцяв бути,---,,35
45,3326,Не зайшов,,,45,,3357,Обіцяв бути,---,,36
46,3328,Не зайшов,,,46,,3375,Обіцяв бути,---,,37
47,3329,Не зайшов,,,47,,3383,Обіцяв бути,---,,38
48,3334,Не зайшов,,,48,,3384,Обіцяв бути,---,,39,#N/A
49,3341,Не зайшов,,,49,,3392,Обіцяв бути,---,,40
50,3342,Не зайшов,,,50,,3395,Обіцяв бути,---,,41
51,3345,Не зайшов,,,51,,3397,Обіцяв бути,---,,42,#N/A
52,3346,Не зайшов,,,52,,3399,Обіцяв бути,---,,43
53,3349,Не зайшов,,,53,,3405,Обіцяв бути,---,,44
54,3351,Не зайшов,,,54,,3411,Обіцяв бути,---,,45
55,3352,Не зайшов,,,55,,3412,Обіцяв бути,---,,46
56,3353,Не зайшов,,,56,,3416,Обіцяв бути,---,,47
57,3357,Не зайшов,,,57,,3426,Обіцяв бути,---,,48
58,3375,Не зайшов,,,58,,3429,Обіцяв бути,---,,49
59,3383,Не зайшов,,,59,,3431,Обіцяв бути,---,,50
60,3384,Не зайшов,,,60,,3438,Обіцяв бути,---,,51
61,3392,Не зайшов,,,61,,3440,Обіцяв бути,---,,52
62,3395,Не зайшов,,,62,,3447,Обіцяв бути,---,,53
63,3397,Не зайшов,,,63,,3457,Обіцяв бути,---,,54
64,3399,Не зайшов,,,64,,3459,Обіцяв бути,---,,55
65,3411,Не зайшов,,,65,,3461,Обіцяв бути,---,,57
66,3412,Не зайшов,,,66,,3463,Обіцяв бути,---,,58
67,3426,Не зайшов,,,67,,3471,Обіцяв бути,---,,60
68,3429,Не зайшов,,,68,,3483,Обіцяв бути,---,,61
69,3431,Не зайшов,,,69,,3495,Обіцяв бути,---,,62
70,3438,Не зайшов,,,70,,3498,Обіцяв бути,---,,63
71,3440,Не зайшов,,,71,,3499,Обіцяв бути,---,,64
72,3447,Не зайшов,,,72,,3500,Обіцяв бути,---,,65
73,3457,Не зайшов,,,73,,3501,Обіцяв бути,---,,66,#N/A
74,3459,Не зайшов,,,74,,3503,Обіцяв бути,---,,67
75,3461,Не зайшов,,,75,,3504,Обіцяв бути,---,,68
76,3463,Не зайшов,,,76,,3509,Обіцяв бути,---,,69
77,3471,Не зайшов,,,77,,3515,Обіцяв бути,---,,70
78,3483,Не зайшов,,,78,,3522,Обіцяв бути,---,,71
79,3490,Відклав візит,,,79,,3530,Обіцяв бути,---,,#N/A
80,3495,Не зайшов,,,80,,3537,Обіцяв бути,---,,72
81,3498,Не зайшов,,,81,,3604,Обіцяв бути,---,,73
82,3499,Не зайшов,,,82,,3608,Обіцяв бути,---,,74,#N/A
83,3500,Не зайшов,,,83,,3654,Обіцяв бути,---,,75
84,3501,Не зайшов,,,84,,3656,Обіцяв бути,---,,76
85,3503,Не зайшов,,,85,,3659,Обіцяв бути,---,,77
86,3504,Не зайшов,,,86,,3660,Обіцяв бути,---,,78
87,3509,Не зайшов,,,87,,3672,Обіцяв бути,---,,79
88,3515,Не зайшов,,,88,,3696,Обіцяв бути,---,,80
89,3522,Не зайшов,,,89,,3704,Обіцяв бути,---,,81
90,3537,Не зайшов,,,90,,3709,Обіцяв бути,---,,83
91,3561,Не зайшов,"ваш номер 3561, замість 3562",,91,,3712,Обіцяв бути,---,,#N/A
92,3604,Не зайшов,,,92,,3719,Обіцяв бути,---,,84
93,3608,Не зайшов,,,93,,3720,Обіцяв бути,---,,85
94,3656,Не зайшов,,,94,,3724,Обіцяв бути,---,,87
95,3659,Не зайшов,,,95,"Ваш номер 3733, а не 3833",3733,Обіцяв бути,---,,88
