"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,23.09.2025 (08:30 - 14:00),,,NEXT DAY:,,24.09.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,2979,Не з'явився,В кінець черги,,1,Остання спроба,3175,Обіцяв бути,---,,#N/A
2,3054,Зайшов,,,2,,3228,Обіцяв бути,---,,#N/A
3,3072,Зайшов,,,3,,3232,Обіцяв бути,---,,#N/A
4,3175,Не з'явився,п.8,,4,,3264,Обіцяв бути,---,,4
5,3235,Зайшов,Остання спроба,,5,Остання спроба,3271,Обіцяв бути,---,,#N/A
6,3253,Зайшов,Остання спроба,,6,Остання спроба,3272,Обіцяв бути,---,,#N/A
7,3256,Не з'явився,В кінець черги,,7,Остання спроба,3273,Обіцяв бути,---,,#N/A
8,3261,Не з'явився,В кінець черги,,8,Остання спроба,3274,Обіцяв бути,---,,#N/A
9,3266,Не з'явився,В кінець черги,,9,Остання спроба,3275,Обіцяв бути,---,,#N/A
10,3271,Не з'явився,п.8,,10,Остання спроба,3280,Обіцяв бути,---,,8
11,3272,Не з'явився,п.8,,11,Остання спроба,3287,Обіцяв бути,---,,9
12,3273,Не з'явився,п.8,,12,Остання спроба,3298,Обіцяв бути,---,,10
13,3274,Не з'явився,п.8,,13,Остання спроба,3299,Обіцяв бути,---,,11
14,3275,Не з'явився,п.8,,14,Остання спроба,3303,Обіцяв бути,---,,12
15,3276,Зайшов,,,15,Остання спроба,3307,Обіцяв бути,---,,#N/A
16,3279,Зайшов,,,16,,3309,Обіцяв бути,---,,#N/A
17,3280,Не з'явився,п.8,,17,Остання спроба,3310,Обіцяв бути,---,,13
18,3287,Не з'явився,п.8,,18,,3314,Обіцяв бути,---,,14
19,3288,Зайшов,,,19,,3316,Обіцяв бути,---,,#N/A
20,3290,Зайшов,,,20,,3317,Обіцяв бути,---,,#N/A
