"252 кабінет. Первинна черга на завтра. 
Список тих хто був записаний через Telegram Bot на вказану дату. Всі записи на наступні дні - на наступному аркуші (TODO)"
Попередній прийом:,,01.12.2025 (9:00 - 14:00),,,Поточний прийом:,,02.12.2025 (Мобілізація)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?",Розрахункова дата візиту,Перевірка,Примітки,"ID
(номер первинної черги)",Альтернативний калькулятор дати
1,3560,Зайшов,,,1,,,,,,,Остання спроба,4112,#REF!
2,3973,Не з'явився,В кінець черги,,2,,,,,,,,4170
3,4017,Зайшов,,,3,,,,,,,,4171
4,4062,Зайшов,Планую бути,,4,,,,,,,,4177
5,4081,Зайшов,,,5,,,,,,,,4183
6,4112,Не з'явився,п.8,,6,,,,,,,,4193
7,4113,Зайшов,,,7,,,,,,,,4194
8,4118,Зайшов,,,8,,,,,,,,4196
9,4150,Скасував,на Іваниса,,9,,,,,,,,4197
10,4162,Відклав візит,,,10,,,,,,,,4206
11,4170,Не зайшов,,,11,,,,,,,,4218
12,4171,Не зайшов,,,12,,,,,,,,4223
13,4176,Відклав візит,,,13,,,,,,,,4228
14,4177,Не зайшов,,,14,,,,,,,,4233
15,4183,Не зайшов,,,15,,,,,,,,4234
16,4193,Не зайшов,,,16,,,,,,,,4238
17,4194,Не зайшов,,,17,,,,,,,,4240
18,4196,Не зайшов,,,18,,,,,,,,4241
19,4197,Не зайшов,,,19,,,,,,,,4260
20,4206,Не зайшов,,,20,,,,,,,,4262
21,4218,Не зайшов,,,21,,,,,,,,4263
22,4223,Не зайшов,,,22,,,,,,,,4269
23,4228,Не зайшов,,,23,,,,,,,,4270
24,4233,Не зайшов,,,24,,,,,,,,4275
25,4234,Не зайшов,,,25,,,,,,,,4277
26,4238,Не зайшов,,,26,,,,,,,,4286
27,4240,Не зайшов,,,27,,,,,,,,4287
28,4241,Не зайшов,,,28,,,,,,,,4292
29,4260,Не зайшов,,,29,,,,,,,,4294
30,4262,Не зайшов,,,30,,,,,,,,4295
31,4263,Не зайшов,,,31,,,,,,,,4308
32,4269,Не зайшов,,,32,,,,,,,,4309
33,4270,Не зайшов,,,33,,,,,,,,4314
34,4275,Не зайшов,,,34,,,,,,,,4315
35,4277,Не зайшов,,,35,,,,,,,,4319
36,4286,Не зайшов,,,36,,,,,,,,4328
37,4287,Не зайшов,,,37,,,,,,,,4332
38,4288,Відклав візит,,,38,,,,,,,,4333
39,4292,Не зайшов,,,39,,,,,,,,4335
40,4294,Не зайшов,,,40,,,,,,,,4338
41,4295,Не зайшов,,,41,,,,,,,,4339
42,4308,Не зайшов,,,42,,,,,,,,4354
43,4309,Не зайшов,,,43,,,,,,,,4359
44,4314,Не зайшов,,,44,,,,,,,,4360
45,4315,Не зайшов,,,45,,,,,,,,4363
46,4319,Не зайшов,,,46,,,,,,,,4371
47,4328,Не зайшов,,,47,,,,,,,,4373
48,4332,Не зайшов,,,48,,,,,,,,4390
49,4333,Не зайшов,,,49,,,,,,,,4394
50,4335,Не зайшов,,,50,,,,,,,,4396
51,4338,Не зайшов,,,51,,,,,,,,4406
52,4339,Не зайшов,,,52,,,,,,,,4407
53,4354,Не зайшов,,,53,,,,,,,,4417
54,4359,Не зайшов,,,54,,,,,,,,4421
55,4360,Не зайшов,,,55,,,,,,,,4424
56,4363,Не зайшов,,,56,,,,,,,,4427
57,4365,Відклав візит,,,57,,,,,,,,4440
58,4371,Не зайшов,,,58,,,,,,,,4443
59,4373,Не зайшов,,,59,,,,,,,,4444
60,4390,Не зайшов,,,60,,,,,,,,4459
61,4394,Не зайшов,,,61,,,,,,,,4464
62,4396,Не зайшов,,,62,,,,,,,,4470
63,4406,Не зайшов,,,63,,,,,,,,4473
64,4407,Не зайшов,,,64,,,,,,,,4476
65,4417,Не зайшов,,,65,,,,,,,,4484
66,4421,Не зайшов,,,66,,,,,,,,4485
67,4424,Не зайшов,,,67,,,,,,,,4486
68,4427,Не зайшов,,,68,,,,,,,,4491
69,4440,Не зайшов,,,69,,,,,,,,4492
70,4443,Не зайшов,,,70,,,,,,,,4496
71,4444,Не зайшов,,,71,,,,,,,,4499
72,4459,Не зайшов,,,72,,,,,,,,4501
73,4464,Не зайшов,,,73,,,,,,,,4502
74,4470,Не зайшов,,,74,,,,,,,,4504
75,4473,Не зайшов,,,75,,,,,,,,4514
76,4476,Не зайшов,,,76,,,,,,,,4517
77,4484,Не зайшов,,,77,,,,,,,,4521
78,4485,Не зайшов,,,78,,,,,,,,4535
79,4486,Не зайшов,,,79,,,,,,,,4538
80,4491,Не зайшов,,,80,,,,,,,,4541
81,4492,Не зайшов,,,81,,,,,,,,4550
82,4496,Не зайшов,,,82,,,,,,,,4554
83,4499,Не зайшов,,,83,,,,,,,,4560
84,4501,Не зайшов,,,84,,,,,,,,4566
