"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,04.09.2025 (10:00 - 14:00),,,NEXT DAY:,,05.09.2025 (15:00 - 17:30)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1687,Зайшов,,,1,,2659,Обіцяв бути,---
2,2463,Зайшов,Остання спроба,,2,,2754,Обіцяв бути,---
3,2642,Зайшов,,,3,,2802,Обіцяв бути,---
4,2779,Зайшов,,,4,,2803,Обіцяв бути,---
5,2789,Зайшов,,,5,,2864,Обіцяв бути,---
6,2797,Зайшов,,,6,Остання спроба,2899,Обіцяв бути,---
7,2798,Зайшов,,,7,СПИСКИ !,2920,Обіцяв бути,---
8,2864,Не зайшов,,,8,,2924,Обіцяв бути,---
9,2920,Не зайшов,,,9,,2925,Обіцяв бути,---
10,2925,Не зайшов,,,10,,2933,Обіцяв бути,---
11,2933,Не зайшов,,,11,,2935,Обіцяв бути,---
12,2946,Не зайшов,,,12,Остання спроба,2958,Обіцяв бути,---
13,2958,Не зайшов,Остання спроба,,13,,2960,Обіцяв бути,---
14,2960,Не зайшов,,,14,,2963,Обіцяв бути,---
15,2963,Не зайшов,,,15,,2965,Обіцяв бути,---
16,2965,Не зайшов,,,16,,2970,Обіцяв бути,---
17,2970,Не зайшов,,,17,Остання спроба,2973,Обіцяв бути,---
18,2973,Не зайшов,Остання спроба,,18,Остання спроба,2991,Обіцяв бути,---
19,2991,Не зайшов,Остання спроба,,19,,3013,Обіцяв бути,---
20,3013,Не зайшов,,,20,,3022,Обіцяв бути,---
21,3022,Не зайшов,,,21,,3028,Обіцяв бути,---
22,3028,Не зайшов,,,22,Остання спроба,3049,Обіцяв бути,---
23,3049,Не зайшов,Остання спроба,,23,,3057,Обіцяв бути,---
24,3057,Не зайшов,,,24,,3064,Обіцяв бути,---
25,3064,Не зайшов,,,25,,3073,Обіцяв бути,---
26,3073,Не зайшов,,,26,,3076,Обіцяв бути,---
27,3076,Не зайшов,,,27,,3083,Обіцяв бути,---
28,3083,Не зайшов,,,28,,3095,Обіцяв бути,---
29,3095,Не зайшов,,,29,Остання спроба,3100,Обіцяв бути,---
30,3100,Не зайшов,Остання спроба,,30,Остання спроба,3106,Обіцяв бути,---
31,3106,Не зайшов,Остання спроба,,31,,3109,Обіцяв бути,---
32,3109,Не зайшов,,,32,,3120,Обіцяв бути,---
33,3118,Не зайшов,,,33,,3125,Обіцяв бути,---,,,#N/A
34,3120,Не зайшов,,,34,,3132,Обіцяв бути,---
35,3125,Не зайшов,,,35,Остання спроба,3143,Обіцяв бути,---
36,3155,Не зайшов,,,36,,3155,Обіцяв бути,---
37,3156,Не зайшов,Остання спроба,,37,Остання спроба,3156,Обіцяв бути,---
38,3162,Не зайшов,Остання спроба,,38,Остання спроба,3162,Обіцяв бути,---
39,3169,Не зайшов,,,39,,3169,Обіцяв бути,---
40,3173,Не зайшов,,,40,,3173,Обіцяв бути,---
41,3192,Не зайшов,Остання спроба,,41,Остання спроба,3192,Обіцяв бути,---
42,3198,Не зайшов,Остання спроба,,42,,3194,Обіцяв бути,---
43,3205,Не зайшов,,,43,Остання спроба,3198,Обіцяв бути,---
44,3210,Не зайшов,,,44,,3205,Обіцяв бути,---
45,3216,Не зайшов,,,45,,3208,Обіцяв бути,---
46,3217,Не зайшов,,,46,,3210,Обіцяв бути,---
47,3220,Не зайшов,,,47,,3216,Обіцяв бути,---
48,3223,Не зайшов,,,48,,3217,Обіцяв бути,---,,,#N/A
49,3225,Не зайшов,,,49,,3220,Обіцяв бути,---
50,3227,Не зайшов,,,50,,3225,Обіцяв бути,---
51,3230,Не зайшов,,,51,,3227,Обіцяв бути,---,,,#N/A
52,3233,Не зайшов,,,52,,3233,Обіцяв бути,---
53,3236,Не зайшов,,,53,,3236,Обіцяв бути,---
54,3238,Не зайшов,,,54,,3238,Обіцяв бути,---
55,3243,Не зайшов,,,55,,3243,Обіцяв бути,---
