"252 кабінет. Первинна черга. 
Приблизний список тих хто обіцяв бути присутнім на основі онлайн переклички в Telegram."
PREV. DAY (PAST):,,29.07.2025 (10:00 - 16:00),,,NEXT DAY:,,30.07.2025 (08:30 - 14:00)
№,"ID
(номер первинної черги)",Статус,Примітки,,№,Примітки,"ID
(номер первинної черги)",Статус,"Записаний
в TODO ?"
1,1604,Не з'явився,п.8,,1,остання спроба,1604,Обіцяв бути,---
2,1817,Не з'явився,остання спроба,,2,,1911,Обіцяв бути,---
3,1878,Зайшов,,,3,,2030,Обіцяв бути,---
4,1908,Зайшов,,,4,,2040,Обіцяв бути,---
5,2015,Зайшов,,,5,,2081,Обіцяв бути,---
6,2020,Зайшов,,,6,,2084,Обіцяв бути,---
7,2033,Зайшов,,,7,,2088,Обіцяв бути,---
8,2043,Зайшов,остання спроба,,8,остання спроба,2114,Обіцяв бути,---
9,2053,Відклав візит,остання спроба,,9,остання спроба,2119,Обіцяв бути,---
10,2060,Зайшов,,,10,остання спроба,2122,Обіцяв бути,---
11,2073,Зайшов,,,11,,2127,Обіцяв бути,---
12,2081,Відклав візит,,,12,,2141,Обіцяв бути,---
13,2087,Зайшов,,,13,остання спроба,2154,Обіцяв бути,---
14,2088,Відклав візит,,,14,,2166,Обіцяв бути,---
15,2095,Зайшов,,,15,,2168,Обіцяв бути,---
16,2099,Зайшов,,,16,,2169,Обіцяв бути,---
17,2105,Зайшов,,,17,,2170,Обіцяв бути,---
18,2114,Не з'явився,п.8,,18,,2176,Обіцяв бути,---
19,2115,Зайшов,,,19,,2180,Обіцяв бути,---
20,2116,Зайшов,,,20,,2191,Обіцяв бути,---
21,2119,Не з'явився,п.8,,21,,2193,Обіцяв бути,---
22,2121,Зайшов,,,22,,2197,Обіцяв бути,---
23,2122,Не з'явився,п.8,,23,,2213,Обіцяв бути,---
24,2123,Зайшов,,,24,,2220,Обіцяв бути,---
25,2125,Зайшов,,,25,,2222,Обіцяв бути,---
26,2142,Зайшов,,,26,,2228,Обіцяв бути,---
27,2143,Зайшов,,,27,,2239,Обіцяв бути,---
28,2154,Не з'явився,п.8,,28,,2240,Обіцяв бути,---
29,2162,Зайшов,,,29,,2259,Обіцяв бути,---
30,2166,Не зайшов,,,30,,2265,Обіцяв бути,---
31,2168,Не зайшов,,,31,,2278,Обіцяв бути,---
32,2169,Не зайшов,,,32,,2279,Обіцяв бути,---
33,2170,Не зайшов,,,33,,2283,Обіцяв бути,---
34,2176,Не зайшов,,,34,,2292,Обіцяв бути,---
35,2191,Не зайшов,,,35,,2298,Обіцяв бути,---
36,2193,Не зайшов,,,36,,2299,Обіцяв бути,---
37,2197,Не зайшов,,,37,,2301,Обіцяв бути,---
38,2213,Не зайшов,,,38,,2307,Обіцяв бути,---
39,2220,Не зайшов,,,39,,2322,Обіцяв бути,---
40,2222,Не зайшов,,,40,,2324,Обіцяв бути,---
41,2239,Не зайшов,,,41,,2330,Обіцяв бути,---
42,2248,Відклав візит,,,42,,2331,Обіцяв бути,---
43,2259,Не зайшов,,,43,,2336,Обіцяв бути,---
44,2265,Не зайшов,,,44,,2347,Обіцяв бути,---
45,2278,Не зайшов,,,45,,2359,Обіцяв бути,---
46,2279,Не зайшов,,,46,,2378,Обіцяв бути,---
47,2283,Не зайшов,,,47,,2390,Обіцяв бути,---
48,2292,Не зайшов,,,48,,2425,Обіцяв бути,---
49,2298,Не зайшов,,,49,,2458,Обіцяв бути,---
50,2299,Не зайшов,,,50,,2460,Обіцяв бути,---
51,2301,Не зайшов,,,51,,2464,Обіцяв бути,---
52,2307,Не зайшов,,,52,,2469,Обіцяв бути,---
53,2308,Відклав візит,,,53,,2479,Обіцяв бути,---
54,2322,Не зайшов,,,54,,2510,Обіцяв бути,---
55,2324,Не зайшов,,,55,,2515,Обіцяв бути,---
56,2330,Не зайшов,,,56,,2518,Обіцяв бути,---
57,2331,Не зайшов,,,57,,2530,Обіцяв бути,---
58,2336,Не зайшов,,,58,,2586,Обіцяв бути,---
59,2347,Не зайшов,,,59,,2587,Обіцяв бути,---
60,2359,Не зайшов,,,60,,2589,Обіцяв бути,---
61,2378,Не зайшов,,,61,,2613,Обіцяв бути,---
